#Star V_r sigma_V_r
HD0000 0.0 0
HD283 -43.102 0
HD1388 28.498 0
HD1461 -10.166 0
HD2025 3.241 0
HD3074 29.539 0
HD4307 -10.349 0
HD9562 -14.989 0
HD10002 11.562 0
HD10700 -16.619 0
HD11020 22.786 0
HD13043 -39.333 0
HD14412 7.383 0
HD16141 -50.971 0
HD18907 42.718 0
HD19467 6.936 0
HD21019 41.63 0
HD21197 -13.107 0
HD22049 16.332 0
HD23249 -6.295 0
HD23356 25.287 0
HD24916 3.54 0
HD25069 38.484 0
HD26965 -42.331 0
HD28187 18.321 0
HD32147 21.552 0
HD34721 40.448 0
HD35974 76.683 0
HD36003 -55.527 0
HD37213 12.464 0
HD37962 3.133 0
HD38858 31.543 0
HD44420 0.531 0
HD45184 -3.856 0
HD50281 -7.082 0
HD50499 36.793 0
HD50806 72.388 0
HD52265 53.81 0
HD56274 66.663 0
HD60491 -9.667 0
HD61606 -18.21 0
HD63754 44.973 0
HD65277 -4.417 0
HD67458 -15.686 0
HD68978 51.696 0
HD71334 17.286 0
HD72673 14.785 0
HD76151 32.002 0
HD83443 28.994 0
HD85725 61.61 0
HD88218 36.652 0
HD89391 29.607 0
HD90156 26.934 0
HD90711 29.94 0
HD90722 39.984 0
HD93745 37.947 0
HD96700 12.769 0
HD97343 39.794 0
HD98281 13.33 0
HD100623 -21.959 0
HD101259 96.905 0
HD103932 48.499 0
HD104067 15.021 0
HD105113 31.871 0
HD106116 14.543 0
HD111031 -20.458 0
HD114729 64.925 0
HD114946 -48.181 0
HD115589 -21.614 0
HD115617 -7.85 0
HD117207 -17.476 0
HD125184 -12.377 0
HD125455 -9.806 0
HD129010 -8.137 0
HD130992 -57.16 0
HD131117 -28.834 0
HD131977 26.961 0
HD134439 310.084 0
HD134987 5.038 0
HD136442 -46.935 0
HD136713 -6.037 0
HD137778 7.752 0
HD138549 12.024 0
HD144179 -24.253 0
HD144585 -14.067 0
HD144988 -53.211 0
HD146775 -30.218 0
HD147776 7.341 0
HD150698 48.229 0
HD154088 14.18 0
HD154363 34.146 0
HD156026 0.153 0
HD156365 -13.136 0
HD156826 -32.634 0
HD157347 -35.901 0
HD165438 -26.747 0
HD168723 9.371 0
HD170493 -54.752 0
HD170657 -43.131 0
HD171665 -23.259 0
HD172051 37.103 0
HD172513 -11.545 0
HD189625 -28.218 0
HD192263 -10.738 0
HD195564 9.535 0
HD196761 -41.987 0
HD198802 -3.171 0
HD199960 -17.605 0
HD200538 15.377 0
HD208801 -50.179 0
HD210277 -20.873 0
HD211038 10.407 0
HD212801 -8.475 0
HD213628 -50.445 0
HD217004 0.371 0
HD217107 -13.399 0
HD217357 16.42 0
HD218566 -37.804 0
HD218730 2.009 0
HD219834B 10.782 0
HD220339 34.001 0
HD221146 -15.137 0
HD223691 1.656 0
HD224383 -31.205 0
HIP5004 45.733 0
HIP10449 28.116 0
HIP80295 -17.315 0
BD-10 26.679 0
HD22879 120.2 0.3
HD24331 23.9 0.2
HD18884 -26.1 0
