#HD16031                                                     
#                                                            
#  heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   11.503  2.74
   2952.74   11.462  2.74
   2955.48   11.462  2.74
   2958.22   11.431  2.74
   2960.96   11.429  2.74
   2963.70   11.425  2.74
   2966.44   11.516  2.74
   2969.18   11.507  2.74
   2971.92   11.487  2.74
   2974.66   11.424  2.74
   2977.40   11.395  2.74
   2980.14   11.424  2.74
   2982.88   11.477  2.74
   2985.62   11.536  2.74
   2988.36   11.441  2.74
   2991.10   11.389  2.74
   2993.84   11.390  2.74
   2996.58   11.387  2.74
   2999.32   11.416  2.74
   3002.06   11.468  2.74
   3004.80   11.422  2.74
   3007.54   11.406  2.74
   3010.28   11.378  2.74
   3013.02   11.379  2.74
   3015.76   11.403  2.74
   3018.50   11.445  2.74
   3021.24   11.474  2.74
   3023.98   11.363  2.74
   3026.72   11.357  2.74
   3029.46   11.354  2.74
   3032.20   11.361  2.74
   3034.94   11.306  2.74
   3037.68   11.335  2.74
   3040.42   11.349  2.74
   3043.16   11.357  2.74
   3045.90   11.334  2.74
   3048.64   11.334  2.74
   3051.38   11.318  2.74
   3054.12   11.320  2.74
   3056.86   11.361  2.74
   3059.60   11.419  2.74
   3062.34   11.383  2.74
   3065.08   11.416  2.74
   3067.82   11.429  2.74
   3070.56   11.375  2.74
   3073.30   11.361  2.74
   3076.04   11.346  2.74
   3078.78   11.347  2.74
   3081.52   11.332  2.74
   3084.26   11.297  2.74
   3087.00   11.337  2.74
   3089.74   11.423  2.74
   3092.48   11.434  2.74
   3095.22   11.414  2.74
   3097.96   11.434  2.74
   3100.70   11.423  2.74
   3103.44   11.347  2.74
   3106.18   11.304  2.74
   3108.92   11.285  2.74
   3111.66   11.272  2.74
   3114.40   11.299  2.74
   3117.14   11.300  2.74
   3119.88   11.333  2.74
   3122.62   11.339  2.74
   3125.36   11.339  2.74
   3128.10   11.328  2.74
   3130.84   11.315  2.74
   3133.58   11.293  2.74
   3136.32   11.277  2.74
   3139.06   11.258  2.74
   3141.80   11.300  2.74
   3144.54   11.329  2.74
   3147.28   11.324  2.74
   3150.02   11.247  2.74
   3152.76   11.260  2.74
   3155.50   11.296  2.74
   3158.24   11.332  2.74
   3160.98   11.341  2.74
   3163.72   11.295  2.74
   3166.46   11.264  2.74
   3169.20   11.249  2.74
   3171.94   11.208  2.74
   3174.68   11.189  2.74
   3177.42   11.245  2.74
   3180.16   11.315  2.74
   3182.90   11.298  2.74
   3185.64   11.268  2.74
   3188.38   11.257  2.74
   3191.12   11.272  2.74
   3193.86   11.286  2.74
   3196.60   11.248  2.74
   3199.34   11.194  2.74
   3202.08   11.150  2.74
   3204.82   11.151  2.74
   3207.56   11.163  2.74
   3210.30   11.233  2.74
   3213.04   11.293  2.74
   3215.78   11.254  2.74
   3218.52   11.225  2.74
   3221.26   11.196  2.74
   3224.00   11.195  2.74
   3226.74   11.223  2.74
   3229.48   11.243  2.74
   3232.22   11.256  2.74
   3234.96   11.249  2.74
   3237.70   11.218  2.74
   3240.44   11.189  2.74
   3243.18   11.150  2.74
