#HD019445                                                    
#                                                            
#  HEAP-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00    9.767  2.74
   2952.74    9.746  2.74
   2955.48    9.723  2.74
   2958.22    9.704  2.74
   2960.96    9.685  2.74
   2963.70    9.705  2.74
   2966.44    9.787  2.74
   2969.18    9.784  2.74
   2971.92    9.771  2.74
   2974.66    9.692  2.74
   2977.40    9.650  2.74
   2980.14    9.701  2.74
   2982.88    9.758  2.74
   2985.62    9.796  2.74
   2988.36    9.707  2.74
   2991.10    9.650  2.74
   2993.84    9.680  2.74
   2996.58    9.659  2.74
   2999.32    9.692  2.74
   3002.06    9.742  2.74
   3004.80    9.689  2.74
   3007.54    9.694  2.74
   3010.28    9.664  2.74
   3013.02    9.644  2.74
   3015.76    9.661  2.74
   3018.50    9.720  2.74
   3021.24    9.780  2.74
   3023.98    9.677  2.74
   3026.72    9.644  2.74
   3029.46    9.612  2.74
   3032.20    9.621  2.74
   3034.94    9.590  2.74
   3037.68    9.622  2.74
   3040.42    9.608  2.74
   3043.16    9.615  2.74
   3045.90    9.603  2.74
   3048.64    9.613  2.74
   3051.38    9.585  2.74
   3054.12    9.593  2.74
   3056.86    9.639  2.74
   3059.60    9.669  2.74
   3062.34    9.648  2.74
   3065.08    9.688  2.74
   3067.82    9.752  2.74
   3070.56    9.706  2.74
   3073.30    9.668  2.74
   3076.04    9.627  2.74
   3078.78    9.626  2.74
   3081.52    9.628  2.74
   3084.26    9.603  2.74
   3087.00    9.621  2.74
   3089.74    9.654  2.74
   3092.48    9.701  2.74
   3095.22    9.700  2.74
   3097.96    9.689  2.74
   3100.70    9.696  2.74
   3103.44    9.665  2.74
   3106.18    9.608  2.74
   3108.92    9.560  2.74
   3111.66    9.545  2.74
   3114.40    9.546  2.74
   3117.14    9.556  2.74
   3119.88    9.585  2.74
   3122.62    9.594  2.74
   3125.36    9.599  2.74
   3128.10    9.598  2.74
   3130.84    9.587  2.74
   3133.58    9.568  2.74
   3136.32    9.549  2.74
   3139.06    9.526  2.74
   3141.80    9.542  2.74
   3144.54    9.619  2.74
   3147.28    9.592  2.74
   3150.02    9.542  2.74
   3152.76    9.533  2.74
   3155.50    9.546  2.74
   3158.24    9.586  2.74
   3160.98    9.610  2.74
   3163.72    9.588  2.74
   3166.46    9.510  2.74
   3169.20    9.501  2.74
   3171.94    9.494  2.74
   3174.68    9.467  2.74
   3177.42    9.482  2.74
   3180.16    9.532  2.74
   3182.90    9.553  2.74
   3185.64    9.528  2.74
   3188.38    9.498  2.74
   3191.12    9.502  2.74
   3193.86    9.526  2.74
   3196.60    9.517  2.74
   3199.34    9.485  2.74
   3202.08    9.460  2.74
   3204.82    9.436  2.74
   3207.56    9.420  2.74
   3210.30    9.452  2.74
   3213.04    9.493  2.74
   3215.78    9.492  2.74
   3218.52    9.467  2.74
   3221.26    9.445  2.74
   3224.00    9.440  2.74
   3226.74    9.457  2.74
   3229.48    9.480  2.74
   3232.22    9.479  2.74
   3234.96    9.476  2.74
   3237.70    9.473  2.74
   3240.44    9.450  2.74
   3243.18    9.419  2.74
   3245.92    9.390  2.74
   3248.66    9.402  2.74
   3251.40    9.408  2.74
   3254.14    9.405  2.74
   3256.88    9.373  2.74
   3259.62    9.345  2.74
   3262.36    9.339  2.74
   3265.10    9.340  2.74
   3267.84    9.331  2.74
   3270.58    9.334  2.74
   3273.32    9.351  2.74
   3276.06    9.339  2.74
   3278.80    9.347  2.74
   3281.54    9.343  2.74
   3284.28    9.320  2.74
   3287.02    9.322  2.74
   3289.76    9.326  2.74
   3292.50    9.303  2.74
   3295.24    9.278  2.74
   3297.98    9.269  2.74
   3300.72    9.273  2.74
   3303.46    9.281  2.74
   3306.20    9.306  2.74
   3308.94    9.297  2.74
   3311.68    9.273  2.74
   3314.42    9.272  2.74
   3317.16    9.283  2.74
   3319.90    9.288  2.74
   3322.64    9.308  2.74
   3325.38    9.312  2.74
   3328.12    9.296  2.74
   3330.86    9.299  2.74
   3333.60    9.295  2.74
   3336.34    9.292  2.74
   3339.08    9.291  2.74
   3341.82    9.298  2.74
   3344.56    9.291  2.74
   3347.30    9.281  2.74
   3350.04    9.306  2.74
   3352.78    9.286  2.74
   3355.52    9.239  2.74
   3358.26    9.238  2.74
   3361.00    9.278  2.74
   3363.74    9.293  2.74
   3366.48    9.278  2.74
   3369.22    9.279  2.74
   3371.96    9.300  2.74
   3374.70    9.294  2.74
   3377.44    9.250  2.74
   3380.18    9.262  2.74
   3382.92    9.274  2.74
   3385.66    9.254  2.74
   3388.40    9.238  2.74
   3391.14    9.243  2.74
   3393.88    9.256  2.74
   3396.62    9.230  2.74
   3399.36    9.204  2.74
   3402.10    9.199  2.74
   3404.84    9.222  2.74
   3407.58    9.247  2.74
   3410.32    9.243  2.74
   3413.06    9.245  2.74
   3415.80    9.240  2.74
   3418.54    9.217  2.74
   3421.28    9.196  2.74
   3424.02    9.199  2.74
   3426.76    9.207  2.74
   3429.50    9.196  2.74
   3432.24    9.182  2.74
   3434.98    9.184  2.74
   3437.72    9.190  2.74
   3440.46    9.195  2.74
   3443.20    9.240  2.74
   3445.94    9.246  2.74
   3448.68    9.202  2.74
   3451.42    9.193  2.74
   3454.16    9.198  2.74
   3456.90    9.186  2.74
   3459.64    9.180  2.74
   3462.38    9.191  2.74
   3465.12    9.183  2.74
   3467.86    9.168  2.74
   3470.60    9.161  2.74
   3473.34    9.169  2.74
   3476.08    9.200  2.74
   3478.82    9.185  2.74
   3481.56    9.145  2.74
   3484.30    9.141  2.74
   3487.04    9.139  2.74
   3489.78    9.156  2.74
   3492.52    9.177  2.74
   3495.26    9.170  2.74
   3498.00    9.162  2.74
   3500.74    9.155  2.74
   3503.48    9.142  2.74
   3506.22    9.117  2.74
   3508.96    9.119  2.74
   3511.70    9.146  2.74
   3514.44    9.161  2.74
   3517.18    9.146  2.74
   3519.92    9.125  2.74
   3522.66    9.138  2.74
   3525.40    9.178  2.74
   3528.14    9.184  2.74
   3530.88    9.139  2.74
   3533.62    9.106  2.74
   3536.36    9.097  2.74
   3539.10    9.090  2.74
   3541.84    9.086  2.74
   3544.58    9.079  2.74
   3547.32    9.071  2.74
   3550.06    9.065  2.74
   3552.80    9.068  2.74
   3555.54    9.078  2.74
   3558.28    9.078  2.74
   3561.02    9.066  2.74
   3563.76    9.069  2.74
   3566.50    9.101  2.74
   3569.24    9.129  2.74
   3571.98    9.145  2.74
   3574.72    9.127  2.74
   3577.46    9.103  2.74
   3580.20    9.105  2.74
   3582.94    9.118  2.74
   3585.68    9.143  2.74
   3588.42    9.146  2.74
   3591.16    9.096  2.74
   3593.90    9.066  2.74
   3596.64    9.061  2.74
   3599.38    9.038  2.74
   3602.12    9.036  2.74
   3604.86    9.060  2.74
   3607.60    9.071  2.74
   3610.34    9.071  2.74
   3613.08    9.069  2.74
   3615.82    9.056  2.74
   3618.56    9.058  2.74
   3621.30    9.068  2.74
   3624.04    9.050  2.74
   3626.78    9.020  2.74
   3629.52    9.016  2.74
   3632.26    9.051  2.74
   3635.00    9.055  2.74
   3637.74    9.025  2.74
   3640.48    9.012  2.74
   3643.22    9.020  2.74
   3645.96    9.033  2.74
   3648.70    9.041  2.74
   3651.44    9.029  2.74
