#HD26169                                                     
#                                                            
#  BESSELL 2008 from Heap-Lindler STIS standards             
# wavelength  ABmag  band
   3200.00   11.167  2.00
   3202.00   11.156  2.00
   3204.00   11.125  2.00
   3206.00   11.091  2.00
   3208.00   11.086  2.00
   3210.00   11.137  2.00
   3212.00   11.174  2.00
   3214.00   11.179  2.00
   3216.00   11.140  2.00
   3218.00   11.112  2.00
   3220.00   11.109  2.00
   3222.00   11.123  2.00
   3224.00   11.131  2.00
   3226.00   11.149  2.00
   3228.00   11.165  2.00
   3230.00   11.167  2.00
   3232.00   11.162  2.00
   3234.00   11.154  2.00
   3236.00   11.127  2.00
   3238.00   11.098  2.00
   3240.00   11.083  2.00
   3242.00   11.063  2.00
   3244.00   11.033  2.00
   3246.00   11.025  2.00
   3248.00   11.047  2.00
   3250.00   11.070  2.00
   3252.00   11.059  2.00
   3254.00   11.032  2.00
   3256.00   10.980  2.00
   3258.00   10.925  2.00
   3260.00   10.884  2.00
   3262.00   10.882  2.00
   3264.00   10.895  2.00
   3266.00   10.889  2.00
   3268.00   10.876  2.00
   3270.00   10.878  2.00
   3272.00   10.891  2.00
   3274.00   10.908  2.00
   3276.00   10.925  2.00
   3278.00   10.956  2.00
   3280.00   10.947  2.00
   3282.00   10.912  2.00
   3284.00   10.874  2.00
   3286.00   10.866  2.00
   3288.00   10.841  2.00
   3290.00   10.806  2.00
   3292.00   10.778  2.00
   3294.00   10.775  2.00
   3296.00   10.777  2.00
   3298.00   10.775  2.00
   3300.00   10.771  2.00
   3302.00   10.778  2.00
   3304.00   10.797  2.00
   3306.00   10.813  2.00
   3308.00   10.808  2.00
   3310.00   10.795  2.00
   3312.00   10.787  2.00
   3314.00   10.785  2.00
   3316.00   10.775  2.00
   3318.00   10.768  2.00
   3320.00   10.775  2.00
   3322.00   10.788  2.00
   3324.00   10.787  2.00
   3326.00   10.783  2.00
   3328.00   10.784  2.00
   3330.00   10.787  2.00
   3332.00   10.780  2.00
   3334.00   10.784  2.00
   3336.00   10.802  2.00
   3338.00   10.812  2.00
   3340.00   10.813  2.00
   3342.00   10.797  2.00
   3344.00   10.776  2.00
   3346.00   10.774  2.00
   3348.00   10.799  2.00
   3350.00   10.811  2.00
   3352.00   10.793  2.00
   3354.00   10.754  2.00
   3356.00   10.747  2.00
   3358.00   10.782  2.00
   3360.00   10.841  2.00
   3362.00   10.847  2.00
   3364.00   10.800  2.00
   3366.00   10.772  2.00
   3368.00   10.787  2.00
   3370.00   10.828  2.00
   3372.00   10.834  2.00
   3374.00   10.805  2.00
   3376.00   10.748  2.00
   3378.00   10.731  2.00
   3380.00   10.744  2.00
   3382.00   10.752  2.00
   3384.00   10.725  2.00
   3386.00   10.695  2.00
   3388.00   10.686  2.00
   3390.00   10.694  2.00
   3392.00   10.705  2.00
   3394.00   10.703  2.00
   3396.00   10.678  2.00
   3398.00   10.642  2.00
   3400.00   10.626  2.00
   3402.00   10.640  2.00
   3404.00   10.670  2.00
   3406.00   10.694  2.00
   3408.00   10.702  2.00
   3410.00   10.703  2.00
   3412.00   10.700  2.00
   3414.00   10.696  2.00
   3416.00   10.686  2.00
   3418.00   10.656  2.00
   3420.00   10.629  2.00
   3422.00   10.630  2.00
   3424.00   10.650  2.00
   3426.00   10.653  2.00
   3428.00   10.623  2.00
   3430.00   10.608  2.00
   3432.00   10.595  2.00
   3434.00   10.595  2.00
   3436.00   10.590  2.00
   3438.00   10.612  2.00
   3440.00   10.660  2.00
   3442.00   10.698  2.00
   3444.00   10.700  2.00
   3446.00   10.656  2.00
   3448.00   10.615  2.00
   3450.00   10.595  2.00
   3452.00   10.599  2.00
   3454.00   10.589  2.00
   3456.00   10.575  2.00
   3458.00   10.572  2.00
   3460.00   10.586  2.00
   3462.00   10.595  2.00
   3464.00   10.586  2.00
   3466.00   10.574  2.00
   3468.00   10.564  2.00
   3470.00   10.561  2.00
   3472.00   10.573  2.00
   3474.00   10.612  2.00
   3476.00   10.647  2.00
   3478.00   10.632  2.00
   3480.00   10.584  2.00
   3482.00   10.556  2.00
   3484.00   10.547  2.00
   3486.00   10.539  2.00
   3488.00   10.550  2.00
   3490.00   10.577  2.00
   3492.00   10.594  2.00
   3494.00   10.592  2.00
   3496.00   10.587  2.00
