#HD009051                                                    
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   12.308  2.74
   2952.74   12.211  2.74
   2955.48   12.151  2.74
   2958.22   12.101  2.74
   2960.96   12.109  2.74
   2963.70   12.143  2.74
   2966.44   12.433  2.74
   2969.18   12.340  2.74
   2971.92   12.244  2.74
   2974.66   12.081  2.74
   2977.40   11.989  2.74
   2980.14   12.165  2.74
   2982.88   12.316  2.74
   2985.62   12.368  2.74
   2988.36   12.124  2.74
   2991.10   11.946  2.74
   2993.84   12.031  2.74
   2996.58   11.991  2.74
   2999.32   12.103  2.74
   3002.06   12.248  2.74
   3004.80   12.073  2.74
   3007.54   12.061  2.74
   3010.28   11.941  2.74
   3013.02   11.952  2.74
   3015.76   11.999  2.74
   3018.50   12.148  2.74
   3021.24   12.322  2.74
   3023.98   12.005  2.74
   3026.72   11.930  2.74
   3029.46   11.899  2.74
   3032.20   11.895  2.74
   3034.94   11.803  2.74
   3037.68   11.901  2.74
   3040.42   11.914  2.74
   3043.16   11.908  2.74
   3045.90   11.838  2.74
   3048.64   11.871  2.74
   3051.38   11.774  2.74
   3054.12   11.850  2.74
   3056.86   11.988  2.74
   3059.60   12.107  2.74
   3062.34   12.017  2.74
   3065.08   12.156  2.74
   3067.82   12.178  2.74
   3070.56   12.082  2.74
   3073.30   11.975  2.74
   3076.04   11.911  2.74
   3078.78   11.912  2.74
   3081.52   11.921  2.74
   3084.26   11.885  2.74
   3087.00   11.960  2.74
   3089.74   12.052  2.74
   3092.48   12.196  2.74
   3095.22   12.088  2.74
   3097.96   12.080  2.74
   3100.70   12.133  2.74
   3103.44   11.955  2.74
   3106.18   11.827  2.74
   3108.92   11.745  2.74
   3111.66   11.742  2.74
   3114.40   11.752  2.74
   3117.14   11.815  2.74
   3119.88   11.931  2.74
   3122.62   11.999  2.74
   3125.36   11.974  2.74
   3128.10   11.943  2.74
   3130.84   11.928  2.74
   3133.58   11.882  2.74
   3136.32   11.858  2.74
   3139.06   11.774  2.74
   3141.80   11.811  2.74
   3144.54   12.015  2.74
   3147.28   12.005  2.74
   3150.02   11.842  2.74
   3152.76   11.801  2.74
   3155.50   11.878  2.74
   3158.24   12.046  2.74
   3160.98   12.148  2.74
   3163.72   11.932  2.74
   3166.46   11.843  2.74
   3169.20   11.771  2.74
   3171.94   11.629  2.74
   3174.68   11.584  2.74
   3177.42   11.580  2.74
   3180.16   11.764  2.74
   3182.90   11.884  2.74
   3185.64   11.895  2.74
   3188.38   11.749  2.74
   3191.12   11.762  2.74
   3193.86   11.842  2.74
   3196.60   11.708  2.74
   3199.34   11.580  2.74
   3202.08   11.542  2.74
   3204.82   11.502  2.74
   3207.56   11.493  2.74
   3210.30   11.615  2.74
   3213.04   11.722  2.74
   3215.78   11.691  2.74
   3218.52   11.589  2.74
   3221.26   11.534  2.74
   3224.00   11.582  2.74
   3226.74   11.640  2.74
   3229.48   11.699  2.74
   3232.22   11.655  2.74
   3234.96   11.650  2.74
   3237.70   11.666  2.74
   3240.44   11.566  2.74
   3243.18   11.471  2.74
   3245.92   11.412  2.74
   3248.66   11.445  2.74
   3251.40   11.452  2.74
   3254.14   11.405  2.74
   3256.88   11.316  2.74
   3259.62   11.235  2.74
   3262.36   11.243  2.74
   3265.10   11.277  2.74
   3267.84   11.268  2.74
   3270.58   11.253  2.74
   3273.32   11.257  2.74
   3276.06   11.297  2.74
   3278.80   11.326  2.74
   3281.54   11.313  2.74
   3284.28   11.292  2.74
   3287.02   11.314  2.74
   3289.76   11.280  2.74
   3292.50   11.157  2.74
   3295.24   11.115  2.74
   3297.98   11.168  2.74
   3300.72   11.190  2.74
   3303.46   11.211  2.74
   3306.20   11.277  2.74
   3308.94   11.288  2.74
   3311.68   11.287  2.74
   3314.42   11.302  2.74
   3317.16   11.281  2.74
   3319.90   11.257  2.74
   3322.64   11.310  2.74
   3325.38   11.312  2.74
   3328.12   11.299  2.74
   3330.86   11.301  2.74
   3333.60   11.296  2.74
   3336.34   11.356  2.74
   3339.08   11.373  2.74
   3341.82   11.336  2.74
   3344.56   11.305  2.74
   3347.30   11.320  2.74
   3350.04   11.350  2.74
   3352.78   11.269  2.74
   3355.52   11.222  2.74
   3358.26   11.473  2.74
   3361.00   11.837  2.74
   3363.74   11.630  2.74
   3366.48   11.405  2.74
   3369.22   11.510  2.74
   3371.96   11.653  2.74
   3374.70   11.519  2.74
   3377.44   11.325  2.74
   3380.18   11.353  2.74
   3382.92   11.380  2.74
   3385.66   11.347  2.74
   3388.40   11.332  2.74
   3391.14   11.309  2.74
   3393.88   11.297  2.74
   3396.62   11.186  2.74
   3399.36   11.055  2.74
   3402.10   11.051  2.74
   3404.84   11.126  2.74
   3407.58   11.193  2.74
   3410.32   11.189  2.74
   3413.06   11.172  2.74
   3415.80   11.166  2.74
   3418.54   11.110  2.74
   3421.28   11.081  2.74
   3424.02   11.081  2.74
   3426.76   11.011  2.74
   3429.50   10.963  2.74
   3432.24   10.974  2.74
   3434.98   10.977  2.74
   3437.72   10.993  2.74
   3440.46   11.131  2.74
   3443.20   11.198  2.74
   3445.94   11.091  2.74
   3448.68   10.986  2.74
   3451.42   10.966  2.74
   3454.16   10.980  2.74
   3456.90   10.945  2.74
   3459.64   10.982  2.74
   3462.38   11.017  2.74
   3465.12   10.975  2.74
   3467.86   10.924  2.74
   3470.60   10.881  2.74
   3473.34   10.934  2.74
   3476.08   11.051  2.74
   3478.82   11.027  2.74
   3481.56   10.918  2.74
   3484.30   10.896  2.74
   3487.04   10.871  2.74
   3489.78   10.891  2.74
   3492.52   10.958  2.74
   3495.26   10.986  2.74
   3498.00   10.960  2.74
   3500.74   10.881  2.74
   3503.48   10.828  2.74
   3506.22   10.846  2.74
   3508.96   10.867  2.74
   3511.70   10.875  2.74
   3514.44   10.888  2.74
   3517.18   10.832  2.74
   3519.92   10.837  2.74
   3522.66   10.941  2.74
   3525.40   10.992  2.74
   3528.14   10.934  2.74
   3530.88   10.862  2.74
   3533.62   10.824  2.74
   3536.36   10.783  2.74
   3539.10   10.735  2.74
   3541.84   10.725  2.74
   3544.58   10.734  2.74
   3547.32   10.742  2.74
   3550.06   10.748  2.74
   3552.80   10.763  2.74
   3555.54   10.780  2.74
   3558.28   10.774  2.74
   3561.02   10.779  2.74
   3563.76   10.801  2.74
   3566.50   10.868  2.74
   3569.24   10.935  2.74
   3571.98   10.914  2.74
   3574.72   10.873  2.74
   3577.46   10.851  2.74
   3580.20   10.894  2.74
   3582.94   10.972  2.74
   3585.68   11.042  2.74
   3588.42   11.053  2.74
   3591.16   10.899  2.74
   3593.90   10.764  2.74
   3596.64   10.702  2.74
   3599.38   10.661  2.74
   3602.12   10.699  2.74
   3604.86   10.762  2.74
   3607.60   10.761  2.74
   3610.34   10.790  2.74
   3613.08   10.801  2.74
   3615.82   10.753  2.74
   3618.56   10.772  2.74
   3621.30   10.784  2.74
   3624.04   10.694  2.74
   3626.78   10.646  2.74
   3629.52   10.653  2.74
   3632.26   10.753  2.74
   3635.00   10.809  2.74
   3637.74   10.728  2.74
   3640.48   10.660  2.74
   3643.22   10.683  2.74
   3645.96   10.739  2.74
   3648.70   10.757  2.74
   3651.44   10.711  2.74
   3654.18   10.629  2.74
   3656.92   10.580  2.74
   3659.66   10.571  2.74
   3662.40   10.575  2.74
   3665.14   10.583  2.74
   3667.88   10.586  2.74
   3670.62   10.601  2.74
   3673.36   10.584  2.74
   3676.10   10.564  2.74
   3678.84   10.611  2.74
   3681.58   10.639  2.74
   3684.32   10.607  2.74
   3687.06   10.620  2.74
   3689.80   10.608  2.74
   3692.54   10.530  2.74
   3695.28   10.496  2.74
   3698.02   10.486  2.74
   3700.76   10.453  2.74
   3703.50   10.494  2.74
   3706.24   10.618  2.74
   3708.98   10.624  2.74
   3711.72   10.555  2.74
   3714.46   10.444  2.74
   3717.20   10.414  2.74
   3719.94   10.552  2.74
   3722.68   10.652  2.74
   3725.42   10.523  2.74
   3728.16   10.441  2.74
   3730.90   10.502  2.74
   3733.64   10.627  2.74
   3736.38   10.720  2.74
   3739.12   10.591  2.74
   3741.86   10.472  2.74
   3744.60   10.498  2.74
   3747.34   10.625  2.74
   3750.08   10.682  2.74
   3752.82   10.551  2.74
   3755.56   10.389  2.74
   3758.30   10.431  2.74
   3761.04   10.480  2.74
   3763.78   10.406  2.74
   3766.52   10.390  2.74
   3769.26   10.423  2.74
   3772.00   10.406  2.74
   3774.74   10.358  2.74
   3777.48   10.324  2.74
   3780.22   10.271  2.74
   3782.96   10.249  2.74
   3785.70   10.291  2.74
   3788.44   10.372  2.74
   3791.18   10.387  2.74
   3793.92   10.381  2.74
   3796.66   10.454  2.74
   3799.40   10.472  2.74
   3802.14   10.347  2.74
   3804.88   10.274  2.74
   3807.62   10.303  2.74
   3810.36   10.307  2.74
   3813.10   10.318  2.74
   3815.84   10.398  2.74
   3818.58   10.413  2.74
   3821.32   10.442  2.74
   3824.06   10.481  2.74
   3826.80   10.536  2.74
   3829.54   10.532  2.74
   3832.28   10.566  2.74
   3835.02   10.644  2.74
   3837.76   10.631  2.74
   3840.50   10.559  2.74
   3843.24   10.429  2.74
   3845.98   10.353  2.74
   3848.72   10.375  2.74
   3851.46   10.402  2.74
   3854.20   10.395  2.74
   3856.94   10.425  2.74
   3859.68   10.489  2.74
   3862.42   10.458  2.74
   3865.16   10.348  2.74
   3867.90   10.390  2.74
