#BD-12 2669                                                  
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   11.798  2.74
   2952.74   11.790  2.74
   2955.48   11.769  2.74
   2958.22   11.749  2.74
   2960.96   11.752  2.74
   2963.70   11.771  2.74
   2966.44   11.786  2.74
   2969.18   11.780  2.74
   2971.92   11.782  2.74
   2974.66   11.749  2.74
   2977.40   11.730  2.74
   2980.14   11.765  2.74
   2982.88   11.781  2.74
   2985.62   11.817  2.74
   2988.36   11.747  2.74
   2991.10   11.703  2.74
   2993.84   11.707  2.74
   2996.58   11.706  2.74
   2999.32   11.728  2.74
   3002.06   11.773  2.74
   3004.80   11.740  2.74
   3007.54   11.721  2.74
   3010.28   11.708  2.74
   3013.02   11.695  2.74
   3015.76   11.702  2.74
   3018.50   11.725  2.74
   3021.24   11.755  2.74
   3023.98   11.710  2.74
   3026.72   11.682  2.74
   3029.46   11.649  2.74
   3032.20   11.671  2.74
   3034.94   11.650  2.74
   3037.68   11.645  2.74
   3040.42   11.667  2.74
   3043.16   11.667  2.74
   3045.90   11.652  2.74
   3048.64   11.669  2.74
   3051.38   11.654  2.74
   3054.12   11.673  2.74
   3056.86   11.687  2.74
   3059.60   11.700  2.74
   3062.34   11.672  2.74
   3065.08   11.699  2.74
   3067.82   11.687  2.74
   3070.56   11.659  2.74
   3073.30   11.660  2.74
   3076.04   11.682  2.74
   3078.78   11.646  2.74
   3081.52   11.615  2.74
   3084.26   11.625  2.74
   3087.00   11.635  2.74
   3089.74   11.658  2.74
   3092.48   11.642  2.74
   3095.22   11.648  2.74
   3097.96   11.667  2.74
   3100.70   11.653  2.74
   3103.44   11.647  2.74
   3106.18   11.610  2.74
   3108.92   11.579  2.74
   3111.66   11.598  2.74
   3114.40   11.621  2.74
   3117.14   11.613  2.74
   3119.88   11.611  2.74
   3122.62   11.585  2.74
   3125.36   11.622  2.74
   3128.10   11.617  2.74
   3130.84   11.594  2.74
   3133.58   11.628  2.74
   3136.32   11.564  2.74
   3139.06   11.545  2.74
   3141.80   11.623  2.74
   3144.54   11.662  2.74
   3147.28   11.633  2.74
   3150.02   11.582  2.74
   3152.76   11.551  2.74
   3155.50   11.594  2.74
   3158.24   11.585  2.74
   3160.98   11.593  2.74
   3163.72   11.585  2.74
   3166.46   11.509  2.74
   3169.20   11.552  2.74
   3171.94   11.542  2.74
   3174.68   11.534  2.74
   3177.42   11.589  2.74
   3180.16   11.613  2.74
   3182.90   11.576  2.74
   3185.64   11.558  2.74
   3188.38   11.576  2.74
   3191.12   11.577  2.74
   3193.86   11.576  2.74
   3196.60   11.526  2.74
   3199.34   11.535  2.74
   3202.08   11.529  2.74
   3204.82   11.521  2.74
   3207.56   11.539  2.74
   3210.30   11.541  2.74
   3213.04   11.587  2.74
   3215.78   11.574  2.74
   3218.52   11.522  2.74
   3221.26   11.537  2.74
   3224.00   11.525  2.74
   3226.74   11.547  2.74
   3229.48   11.574  2.74
   3232.22   11.544  2.74
   3234.96   11.554  2.74
   3237.70   11.569  2.74
   3240.44   11.557  2.74
   3243.18   11.524  2.74
   3245.92   11.472  2.74
   3248.66   11.494  2.74
   3251.40   11.547  2.74
   3254.14   11.514  2.74
   3256.88   11.517  2.74
   3259.62   11.502  2.74
   3262.36   11.457  2.74
   3265.10   11.473  2.74
   3267.84   11.478  2.74
   3270.58   11.512  2.74
   3273.32   11.505  2.74
   3276.06   11.469  2.74
   3278.80   11.493  2.74
   3281.54   11.453  2.74
   3284.28   11.461  2.74
   3287.02   11.449  2.74
   3289.76   11.427  2.74
   3292.50   11.460  2.74
   3295.24   11.436  2.74
   3297.98   11.413  2.74
   3300.72   11.447  2.74
   3303.46   11.454  2.74
   3306.20   11.437  2.74
   3308.94   11.464  2.74
   3311.68   11.436  2.74
   3314.42   11.424  2.74
   3317.16   11.442  2.74
   3319.90   11.453  2.74
   3322.64   11.477  2.74
   3325.38   11.461  2.74
   3328.12   11.457  2.74
   3330.86   11.489  2.74
   3333.60   11.430  2.74
   3336.34   11.435  2.74
   3339.08   11.460  2.74
   3341.82   11.480  2.74
   3344.56   11.457  2.74
   3347.30   11.440  2.74
   3350.04   11.464  2.74
   3352.78   11.429  2.74
   3355.52   11.392  2.74
   3358.26   11.416  2.74
   3361.00   11.432  2.74
   3363.74   11.400  2.74
   3366.48   11.431  2.74
   3369.22   11.419  2.74
   3371.96   11.425  2.74
   3374.70   11.421  2.74
   3377.44   11.390  2.74
   3380.18   11.461  2.74
   3382.92   11.422  2.74
   3385.66   11.420  2.74
