#BD092860                                                    
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   13.608  2.74
   2952.74   13.530  2.74
   2955.48   13.490  2.74
   2958.22   13.465  2.74
   2960.96   13.472  2.74
   2963.70   13.480  2.74
   2966.44   13.647  2.74
   2969.18   13.601  2.74
   2971.92   13.553  2.74
   2974.66   13.424  2.74
   2977.40   13.424  2.74
   2980.14   13.496  2.74
   2982.88   13.576  2.74
   2985.62   13.660  2.74
   2988.36   13.493  2.74
   2991.10   13.364  2.74
   2993.84   13.357  2.74
   2996.58   13.338  2.74
   2999.32   13.405  2.74
   3002.06   13.503  2.74
   3004.80   13.407  2.74
   3007.54   13.391  2.74
   3010.28   13.346  2.74
   3013.02   13.368  2.74
   3015.76   13.418  2.74
   3018.50   13.495  2.74
   3021.24   13.540  2.74
   3023.98   13.349  2.74
   3026.72   13.345  2.74
   3029.46   13.374  2.74
   3032.20   13.351  2.74
   3034.94   13.258  2.74
   3037.68   13.307  2.74
   3040.42   13.316  2.74
   3043.16   13.295  2.74
   3045.90   13.246  2.74
   3048.64   13.287  2.74
   3051.38   13.184  2.74
   3054.12   13.251  2.74
   3056.86   13.348  2.74
   3059.60   13.395  2.74
   3062.34   13.367  2.74
   3065.08   13.486  2.74
   3067.82   13.430  2.74
   3070.56   13.376  2.74
   3073.30   13.298  2.74
   3076.04   13.320  2.74
   3078.78   13.319  2.74
   3081.52   13.278  2.74
   3084.26   13.259  2.74
   3087.00   13.286  2.74
   3089.74   13.404  2.74
   3092.48   13.437  2.74
   3095.22   13.445  2.74
   3097.96   13.468  2.74
   3100.70   13.495  2.74
   3103.44   13.326  2.74
   3106.18   13.132  2.74
   3108.92   13.155  2.74
   3111.66   13.215  2.74
   3114.40   13.207  2.74
   3117.14   13.242  2.74
   3119.88   13.247  2.74
   3122.62   13.418  2.74
   3125.36   13.377  2.74
   3128.10   13.258  2.74
   3130.84   13.267  2.74
   3133.58   13.193  2.74
   3136.32   13.153  2.74
   3139.06   13.210  2.74
   3141.80   13.359  2.74
   3144.54   13.318  2.74
   3147.28   13.221  2.74
   3150.02   13.134  2.74
   3152.76   13.092  2.74
   3155.50   13.138  2.74
   3158.24   13.272  2.74
   3160.98   13.303  2.74
   3163.72   13.184  2.74
   3166.46   13.166  2.74
   3169.20   13.098  2.74
   3171.94   13.026  2.74
   3174.68   13.005  2.74
   3177.42   13.085  2.74
   3180.16   13.213  2.74
   3182.90   13.243  2.74
   3185.64   13.272  2.74
   3188.38   13.128  2.74
   3191.12   13.195  2.74
   3193.86   13.199  2.74
   3196.60   13.073  2.74
   3199.34   12.997  2.74
   3202.08   13.036  2.74
   3204.82   12.936  2.74
   3207.56   12.940  2.74
   3210.30   13.097  2.74
   3213.04   13.152  2.74
   3215.78   13.045  2.74
   3218.52   13.022  2.74
   3221.26   13.034  2.74
   3224.00   13.061  2.74
   3226.74   13.081  2.74
   3229.48   13.157  2.74
   3232.22   13.175  2.74
   3234.96   13.158  2.74
   3237.70   13.105  2.74
   3240.44   12.970  2.74
   3243.18   12.928  2.74
   3245.92   12.929  2.74
   3248.66   12.987  2.74
   3251.40   12.970  2.74
   3254.14   12.946  2.74
   3256.88   12.821  2.74
   3259.62   12.869  2.74
   3262.36   12.871  2.74
   3265.10   12.859  2.74
   3267.84   12.843  2.74
   3270.58   12.883  2.74
   3273.32   12.870  2.74
   3276.06   12.886  2.74
   3278.80   12.949  2.74
   3281.54   12.864  2.74
   3284.28   12.884  2.74
   3287.02   12.858  2.74
   3289.76   12.836  2.74
   3292.50   12.798  2.74
   3295.24   12.697  2.74
   3297.98   12.732  2.74
   3300.72   12.782  2.74
   3303.46   12.834  2.74
   3306.20   12.822  2.74
   3308.94   12.836  2.74
   3311.68   12.787  2.74
   3314.42   12.749  2.74
   3317.16   12.835  2.74
   3319.90   12.841  2.74
   3322.64   12.857  2.74
   3325.38   12.883  2.74
   3328.12   12.844  2.74
   3330.86   12.809  2.74
   3333.60   12.814  2.74
   3336.34   12.844  2.74
   3339.08   12.892  2.74
   3341.82   12.883  2.74
   3344.56   12.784  2.74
   3347.30   12.788  2.74
   3350.04   12.868  2.74
   3352.78   12.836  2.74
   3355.52   12.790  2.74
   3358.26   12.868  2.74
   3361.00   13.098  2.74
   3363.74   12.928  2.74
   3366.48   12.797  2.74
   3369.22   12.929  2.74
   3371.96   12.935  2.74
   3374.70   12.814  2.74
   3377.44   12.784  2.74
   3380.18   12.836  2.74
   3382.92   12.837  2.74
   3385.66   12.756  2.74
   3388.40   12.739  2.74
   3391.14   12.758  2.74
   3393.88   12.743  2.74
   3396.62   12.653  2.74
   3399.36   12.604  2.74
   3402.10   12.623  2.74
   3404.84   12.745  2.74
   3407.58   12.713  2.74
   3410.32   12.737  2.74
   3413.06   12.728  2.74
   3415.80   12.716  2.74
   3418.54   12.622  2.74
   3421.28   12.657  2.74
   3424.02   12.650  2.74
   3426.76   12.590  2.74
   3429.50   12.547  2.74
   3432.24   12.544  2.74
   3434.98   12.616  2.74
   3437.72   12.600  2.74
   3440.46   12.672  2.74
   3443.20   12.756  2.74
   3445.94   12.689  2.74
   3448.68   12.587  2.74
   3451.42   12.600  2.74
   3454.16   12.677  2.74
   3456.90   12.589  2.74
   3459.64   12.625  2.74
   3462.38   12.622  2.74
   3465.12   12.607  2.74
   3467.86   12.573  2.74
   3470.60   12.535  2.74
   3473.34   12.637  2.74
   3476.08   12.671  2.74
   3478.82   12.623  2.74
   3481.56   12.573  2.74
   3484.30   12.582  2.74
   3487.04   12.566  2.74
   3489.78   12.551  2.74
   3492.52   12.612  2.74
   3495.26   12.658  2.74
   3498.00   12.616  2.74
   3500.74   12.518  2.74
   3503.48   12.551  2.74
   3506.22   12.559  2.74
   3508.96   12.577  2.74
   3511.70   12.562  2.74
   3514.44   12.604  2.74
   3517.18   12.559  2.74
   3519.92   12.538  2.74
   3522.66   12.592  2.74
   3525.40   12.590  2.74
   3528.14   12.593  2.74
   3530.88   12.512  2.74
   3533.62   12.507  2.74
   3536.36   12.437  2.74
   3539.10   12.455  2.74
   3541.84   12.444  2.74
   3544.58   12.468  2.74
   3547.32   12.509  2.74
   3550.06   12.444  2.74
   3552.80   12.434  2.74
   3555.54   12.422  2.74
   3558.28   12.410  2.74
   3561.02   12.457  2.74
   3563.76   12.449  2.74
   3566.50   12.555  2.74
   3569.24   12.528  2.74
   3571.98   12.558  2.74
   3574.72   12.537  2.74
   3577.46   12.490  2.74
   3580.20   12.488  2.74
   3582.94   12.546  2.74
   3585.68   12.586  2.74
   3588.42   12.603  2.74
   3591.16   12.516  2.74
   3593.90   12.506  2.74
   3596.64   12.408  2.74
   3599.38   12.420  2.74
   3602.12   12.467  2.74
   3604.86   12.453  2.74
   3607.60   12.492  2.74
   3610.34   12.475  2.74
   3613.08   12.473  2.74
   3615.82   12.410  2.74
   3618.56   12.440  2.74
   3621.30   12.415  2.74
   3624.04   12.404  2.74
   3626.78   12.383  2.74
   3629.52   12.360  2.74
   3632.26   12.428  2.74
   3635.00   12.417  2.74
   3637.74   12.374  2.74
   3640.48   12.349  2.74
   3643.22   12.398  2.74
   3645.96   12.400  2.74
   3648.70   12.377  2.74
   3651.44   12.387  2.74
   3654.18   12.346  2.74
   3656.92   12.300  2.74
   3659.66   12.327  2.74
   3662.40   12.343  2.74
   3665.14   12.289  2.74
   3667.88   12.257  2.74
   3670.62   12.361  2.74
   3673.36   12.271  2.74
   3676.10   12.277  2.74
   3678.84   12.328  2.74
   3681.58   12.331  2.74
   3684.32   12.305  2.74
   3687.06   12.300  2.74
   3689.80   12.266  2.74
   3692.54   12.204  2.74
   3695.28   12.189  2.74
   3698.02   12.163  2.74
   3700.76   12.126  2.74
   3703.50   12.246  2.74
   3706.24   12.304  2.74
   3708.98   12.226  2.74
   3711.72   12.213  2.74
   3714.46   12.138  2.74
   3717.20   12.122  2.74
   3719.94   12.140  2.74
   3722.68   12.281  2.74
   3725.42   12.113  2.74
   3728.16   12.075  2.74
   3730.90   12.087  2.74
   3733.64   12.245  2.74
   3736.38   12.266  2.74
   3739.12   12.128  2.74
   3741.86   12.057  2.74
   3744.60   12.090  2.74
   3747.34   12.186  2.74
   3750.08   12.325  2.74
   3752.82   12.123  2.74
   3755.56   11.951  2.74
   3758.30   12.053  2.74
   3761.04   12.042  2.74
   3763.78   12.011  2.74
   3766.52   12.032  2.74
   3769.26   12.061  2.74
   3772.00   12.105  2.74
   3774.74   12.014  2.74
   3777.48   11.931  2.74
   3780.22   11.864  2.74
   3782.96   11.860  2.74
   3785.70   11.909  2.74
   3788.44   12.003  2.74
   3791.18   11.919  2.74
   3793.92   11.990  2.74
   3796.66   12.126  2.74
   3799.40   12.114  2.74
   3802.14   11.943  2.74
   3804.88   11.872  2.74
   3807.62   11.889  2.74
   3810.36   11.832  2.74
   3813.10   11.883  2.74
   3815.84   11.932  2.74
   3818.58   11.882  2.74
   3821.32   11.882  2.74
   3824.06   11.890  2.74
   3826.80   11.960  2.74
   3829.54   11.988  2.74
   3832.28   12.078  2.74
   3835.02   12.203  2.74
   3837.76   12.110  2.74
   3840.50   12.000  2.74
   3843.24   11.884  2.74
   3845.98   11.846  2.74
   3848.72   11.809  2.74
   3851.46   11.825  2.74
   3854.20   11.807  2.74
   3856.94   11.811  2.74
   3859.68   11.850  2.74
   3862.42   11.795  2.74
   3865.16   11.792  2.74
   3867.90   11.756  2.74
   3870.64   11.796  2.74
   3873.38   11.863  2.74
   3876.12   11.813  2.74
   3878.86   11.860  2.74
   3881.60   11.815  2.74
   3884.34   11.893  2.74
   3887.08   12.006  2.74
   3889.82   12.049  2.74
   3892.56   11.934  2.74
   3895.30   11.898  2.74
   3898.04   11.855  2.74
   3900.78   11.834  2.74
   3903.52   11.853  2.74
   3906.26   11.849  2.74
   3909.00   11.796  2.74
   3911.74   11.750  2.74
   3914.48   11.796  2.74
   3917.22   11.826  2.74
   3919.96   11.872  2.74
   3922.70   11.856  2.74
   3925.44   11.910  2.74
   3928.18   12.112  2.74
   3930.92   12.602  2.74
   3933.66   13.125  2.74
   3936.40   12.727  2.74
   3939.14   12.162  2.74
   3941.88   11.935  2.74
   3944.62   11.862  2.74
   3947.36   11.816  2.74
   3950.10   11.815  2.74
   3952.84   11.809  2.74
   3955.58   11.786  2.74
   3958.32   11.785  2.74
   3961.06   11.857  2.74
   3963.80   12.036  2.74
   3966.54   12.470  2.74
   3969.28   12.843  2.74
   3972.02   12.348  2.74
   3974.76   11.939  2.74
   3977.50   11.799  2.74
   3980.24   11.726  2.74
   3982.98   11.724  2.74
   3985.72   11.693  2.74
   3988.46   11.652  2.74
   3991.20   11.647  2.74
   3993.94   11.643  2.74
   3996.68   11.679  2.74
   3999.42   11.694  2.74
   4002.16   11.644  2.74
   4004.90   11.642  2.74
   4007.64   11.659  2.74
   4010.38   11.642  2.74
   4013.12   11.624  2.74
   4015.86   11.599  2.74
   4018.60   11.586  2.74
   4021.34   11.608  2.74
   4024.08   11.601  2.74
   4026.82   11.607  2.74
   4029.56   11.627  2.74
   4032.30   11.645  2.74
   4035.04   11.634  2.74
   4037.78   11.591  2.74
   4040.52   11.565  2.74
   4043.26   11.607  2.74
   4046.00   11.638  2.74
   4048.74   11.575  2.74
   4051.48   11.563  2.74
   4054.22   11.591  2.74
   4056.96   11.584  2.74
   4059.70   11.546  2.74
   4062.44   11.597  2.74
   4065.18   11.607  2.74
   4067.92   11.570  2.74
   4070.66   11.574  2.74
   4073.40   11.579  2.74
   4076.14   11.601  2.74
   4078.88   11.622  2.74
   4081.62   11.568  2.74
   4084.36   11.566  2.74
   4087.10   11.567  2.74
   4089.84   11.568  2.74
   4092.58   11.550  2.74
   4095.32   11.586  2.74
   4098.06   11.674  2.74
   4100.80   11.793  2.74
   4103.54   11.771  2.74
   4106.28   11.649  2.74
   4109.02   11.585  2.74
   4111.76   11.550  2.74
   4114.50   11.530  2.74
   4117.24   11.523  2.74
   4119.98   11.556  2.74
   4122.72   11.550  2.74
   4125.46   11.538  2.74
   4128.20   11.547  2.74
   4130.94   11.559  2.74
   4133.68   11.574  2.74
   4136.42   11.517  2.74
   4139.16   11.495  2.74
   4141.90   11.525  2.74
   4144.64   11.549  2.74
   4147.38   11.522  2.74
   4150.12   11.534  2.74
   4152.86   11.554  2.74
   4155.60   11.541  2.74
   4158.34   11.513  2.74
   4161.08   11.507  2.74
   4163.82   11.499  2.74
   4166.56   11.495  2.74
   4169.30   11.499  2.74
   4172.04   11.548  2.74
   4174.78   11.559  2.74
   4177.52   11.551  2.74
