#CD-3018140                                                  
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   11.600  2.74
   2952.74   11.565  2.74
   2955.48   11.558  2.74
   2958.22   11.538  2.74
   2960.96   11.534  2.74
   2963.70   11.538  2.74
   2966.44   11.605  2.74
   2969.18   11.613  2.74
   2971.92   11.588  2.74
   2974.66   11.525  2.74
   2977.40   11.498  2.74
   2980.14   11.535  2.74
   2982.88   11.581  2.74
   2985.62   11.624  2.74
   2988.36   11.553  2.74
   2991.10   11.484  2.74
   2993.84   11.502  2.74
   2996.58   11.498  2.74
   2999.32   11.519  2.74
   3002.06   11.575  2.74
   3004.80   11.508  2.74
   3007.54   11.504  2.74
   3010.28   11.493  2.74
   3013.02   11.468  2.74
   3015.76   11.488  2.74
   3018.50   11.536  2.74
   3021.24   11.549  2.74
   3023.98   11.455  2.74
   3026.72   11.452  2.74
   3029.46   11.450  2.74
   3032.20   11.449  2.74
   3034.94   11.417  2.74
   3037.68   11.451  2.74
   3040.42   11.473  2.74
   3043.16   11.471  2.74
   3045.90   11.438  2.74
   3048.64   11.437  2.74
   3051.38   11.422  2.74
   3054.12   11.439  2.74
   3056.86   11.465  2.74
   3059.60   11.500  2.74
   3062.34   11.452  2.74
   3065.08   11.493  2.74
   3067.82   11.448  2.74
   3070.56   11.423  2.74
   3073.30   11.464  2.74
   3076.04   11.467  2.74
   3078.78   11.429  2.74
   3081.52   11.415  2.74
   3084.26   11.412  2.74
   3087.00   11.442  2.74
   3089.74   11.476  2.74
   3092.48   11.489  2.74
   3095.22   11.464  2.74
   3097.96   11.463  2.74
   3100.70   11.484  2.74
   3103.44   11.426  2.74
   3106.18   11.403  2.74
   3108.92   11.365  2.74
   3111.66   11.351  2.74
   3114.40   11.369  2.74
   3117.14   11.396  2.74
   3119.88   11.444  2.74
   3122.62   11.421  2.74
   3125.36   11.401  2.74
   3128.10   11.408  2.74
   3130.84   11.387  2.74
   3133.58   11.371  2.74
