#G13-35                                                      
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   11.401  2.74
   2952.74   11.369  2.74
   2955.48   11.357  2.74
   2958.22   11.329  2.74
   2960.96   11.318  2.74
   2963.70   11.319  2.74
   2966.44   11.404  2.74
   2969.18   11.414  2.74
   2971.92   11.396  2.74
   2974.66   11.325  2.74
   2977.40   11.283  2.74
   2980.14   11.327  2.74
   2982.88   11.387  2.74
   2985.62   11.438  2.74
   2988.36   11.343  2.74
   2991.10   11.267  2.74
   2993.84   11.292  2.74
   2996.58   11.296  2.74
   2999.32   11.334  2.74
   3002.06   11.360  2.74
   3004.80   11.315  2.74
   3007.54   11.297  2.74
   3010.28   11.264  2.74
   3013.02   11.266  2.74
   3015.76   11.305  2.74
   3018.50   11.358  2.74
   3021.24   11.355  2.74
   3023.98   11.263  2.74
   3026.72   11.267  2.74
   3029.46   11.212  2.74
   3032.20   11.218  2.74
   3034.94   11.213  2.74
   3037.68   11.236  2.74
   3040.42   11.242  2.74
   3043.16   11.247  2.74
   3045.90   11.219  2.74
   3048.64   11.222  2.74
   3051.38   11.194  2.74
   3054.12   11.212  2.74
   3056.86   11.270  2.74
   3059.60   11.290  2.74
   3062.34   11.281  2.74
   3065.08   11.332  2.74
   3067.82   11.296  2.74
   3070.56   11.271  2.74
   3073.30   11.269  2.74
   3076.04   11.237  2.74
   3078.78   11.243  2.74
   3081.52   11.219  2.74
   3084.26   11.211  2.74
   3087.00   11.273  2.74
   3089.74   11.314  2.74
   3092.48   11.309  2.74
   3095.22   11.272  2.74
   3097.96   11.290  2.74
   3100.70   11.294  2.74
   3103.44   11.246  2.74
   3106.18   11.179  2.74
   3108.92   11.142  2.74
   3111.66   11.158  2.74
   3114.40   11.177  2.74
   3117.14   11.219  2.74
   3119.88   11.231  2.74
   3122.62   11.216  2.74
   3125.36   11.230  2.74
   3128.10   11.203  2.74
   3130.84   11.175  2.74
   3133.58   11.177  2.74
   3136.32   11.163  2.74
   3139.06   11.162  2.74
   3141.80   11.195  2.74
   3144.54   11.217  2.74
   3147.28   11.178  2.74
   3150.02   11.149  2.74
   3152.76   11.138  2.74
   3155.50   11.160  2.74
   3158.24   11.193  2.74
   3160.98   11.188  2.74
   3163.72   11.160  2.74
   3166.46   11.140  2.74
   3169.20   11.111  2.74
   3171.94   11.084  2.74
   3174.68   11.103  2.74
   3177.42   11.137  2.74
   3180.16   11.188  2.74
   3182.90   11.146  2.74
   3185.64   11.122  2.74
   3188.38   11.153  2.74
   3191.12   11.141  2.74
   3193.86   11.154  2.74
   3196.60   11.127  2.74
   3199.34   11.077  2.74
   3202.08   11.057  2.74
   3204.82   11.048  2.74
   3207.56   11.065  2.74
   3210.30   11.120  2.74
   3213.04   11.150  2.74
   3215.78   11.118  2.74
   3218.52   11.084  2.74
   3221.26   11.062  2.74
   3224.00   11.078  2.74
   3226.74   11.118  2.74
   3229.48   11.138  2.74
   3232.22   11.154  2.74
   3234.96   11.125  2.74
   3237.70   11.088  2.74
   3240.44   11.066  2.74
   3243.18   11.042  2.74
   3245.92   11.048  2.74
   3248.66   11.061  2.74
   3251.40   11.057  2.74
   3254.14   11.011  2.74
   3256.88   10.990  2.74
   3259.62   10.992  2.74
   3262.36   10.993  2.74
   3265.10   10.996  2.74
   3267.84   10.969  2.74
   3270.58   10.975  2.74
   3273.32   10.988  2.74
   3276.06   11.009  2.74
   3278.80   10.988  2.74
   3281.54   10.981  2.74
   3284.28   10.980  2.74
   3287.02   10.955  2.74
   3289.76   10.934  2.74
   3292.50   10.914  2.74
   3295.24   10.920  2.74
   3297.98   10.902  2.74
   3300.72   10.915  2.74
   3303.46   10.951  2.74
   3306.20   10.947  2.74
   3308.94   10.926  2.74
   3311.68   10.916  2.74
   3314.42   10.927  2.74
   3317.16   10.923  2.74
   3319.90   10.927  2.74
   3322.64   10.956  2.74
   3325.38   10.951  2.74
   3328.12   10.939  2.74
   3330.86   10.946  2.74
   3333.60   10.948  2.74
   3336.34   10.945  2.74
   3339.08   10.939  2.74
   3341.82   10.931  2.74
   3344.56   10.930  2.74
   3347.30   10.947  2.74
   3350.04   10.957  2.74
   3352.78   10.919  2.74
   3355.52   10.928  2.74
   3358.26   10.923  2.74
   3361.00   10.928  2.74
   3363.74   10.917  2.74
   3366.48   10.929  2.74
   3369.22   10.966  2.74
   3371.96   10.964  2.74
   3374.70   10.919  2.74
   3377.44   10.912  2.74
   3380.18   10.920  2.74
   3382.92   10.916  2.74
   3385.66   10.903  2.74
   3388.40   10.888  2.74
   3391.14   10.900  2.74
   3393.88   10.906  2.74
   3396.62   10.841  2.74
   3399.36   10.842  2.74
   3402.10   10.860  2.74
   3404.84   10.885  2.74
   3407.58   10.882  2.74
   3410.32   10.884  2.74
   3413.06   10.886  2.74
   3415.80   10.872  2.74
   3418.54   10.844  2.74
   3421.28   10.845  2.74
   3424.02   10.849  2.74
   3426.76   10.828  2.74
   3429.50   10.817  2.74
   3432.24   10.796  2.74
   3434.98   10.840  2.74
   3437.72   10.846  2.74
   3440.46   10.899  2.74
   3443.20   10.899  2.74
   3445.94   10.866  2.74
   3448.68   10.853  2.74
   3451.42   10.819  2.74
   3454.16   10.841  2.74
   3456.90   10.813  2.74
   3459.64   10.826  2.74
   3462.38   10.833  2.74
   3465.12   10.810  2.74
   3467.86   10.804  2.74
   3470.60   10.810  2.74
   3473.34   10.831  2.74
   3476.08   10.845  2.74
   3478.82   10.818  2.74
   3481.56   10.785  2.74
   3484.30   10.777  2.74
   3487.04   10.794  2.74
   3489.78   10.815  2.74
   3492.52   10.818  2.74
   3495.26   10.822  2.74
   3498.00   10.812  2.74
   3500.74   10.795  2.74
   3503.48   10.772  2.74
   3506.22   10.779  2.74
   3508.96   10.780  2.74
   3511.70   10.801  2.74
   3514.44   10.801  2.74
   3517.18   10.781  2.74
   3519.92   10.786  2.74
   3522.66   10.807  2.74
   3525.40   10.827  2.74
   3528.14   10.801  2.74
   3530.88   10.766  2.74
   3533.62   10.758  2.74
   3536.36   10.744  2.74
   3539.10   10.738  2.74
   3541.84   10.717  2.74
   3544.58   10.700  2.74
   3547.32   10.719  2.74
   3550.06   10.715  2.74
   3552.80   10.726  2.74
   3555.54   10.735  2.74
   3558.28   10.731  2.74
   3561.02   10.739  2.74
   3563.76   10.727  2.74
   3566.50   10.770  2.74
   3569.24   10.808  2.74
   3571.98   10.805  2.74
   3574.72   10.776  2.74
   3577.46   10.761  2.74
   3580.20   10.753  2.74
   3582.94   10.786  2.74
   3585.68   10.805  2.74
   3588.42   10.802  2.74
   3591.16   10.756  2.74
   3593.90   10.718  2.74
   3596.64   10.701  2.74
   3599.38   10.678  2.74
   3602.12   10.704  2.74
   3604.86   10.736  2.74
   3607.60   10.728  2.74
   3610.34   10.727  2.74
   3613.08   10.723  2.74
