#G20-15                                                      
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   12.711  2.74
   2952.74   12.652  2.74
   2955.48   12.650  2.74
   2958.22   12.625  2.74
   2960.96   12.608  2.74
   2963.70   12.612  2.74
   2966.44   12.728  2.74
   2969.18   12.728  2.74
   2971.92   12.684  2.74
   2974.66   12.617  2.74
   2977.40   12.563  2.74
   2980.14   12.612  2.74
   2982.88   12.700  2.74
   2985.62   12.755  2.74
   2988.36   12.644  2.74
   2991.10   12.233  2.74
   2993.84   12.203  2.74
   2996.58   12.602  2.74
   2999.32   12.642  2.74
   3002.06   12.707  2.74
   3004.80   12.640  2.74
   3007.54   12.592  2.74
   3010.28   12.579  2.74
   3013.02   12.576  2.74
   3015.76   12.608  2.74
   3018.50   12.699  2.74
   3021.24   12.717  2.74
   3023.98   12.563  2.74
   3026.72   12.549  2.74
   3029.46   12.511  2.74
   3032.20   12.508  2.74
   3034.94   12.491  2.74
   3037.68   12.517  2.74
   3040.42   12.500  2.74
   3043.16   12.520  2.74
   3045.90   12.496  2.74
   3048.64   12.508  2.74
   3051.38   12.486  2.74
   3054.12   12.516  2.74
   3056.86   12.560  2.74
   3059.60   12.598  2.74
   3062.34   12.587  2.74
   3065.08   12.594  2.74
   3067.82   12.653  2.74
   3070.56   12.573  2.74
   3073.30   12.506  2.74
   3076.04   12.516  2.74
   3078.78   12.517  2.74
   3081.52   12.477  2.74
   3084.26   12.463  2.74
   3087.00   12.521  2.74
   3089.74   12.508  2.74
   3092.48   12.566  2.74
   3095.22   12.616  2.74
   3097.96   12.638  2.74
   3100.70   12.610  2.74
   3103.44   12.495  2.74
   3106.18   12.445  2.74
   3108.92   12.445  2.74
   3111.66   12.456  2.74
   3114.40   12.441  2.74
   3117.14   12.521  2.74
   3119.88   12.538  2.74
   3122.62   12.515  2.74
   3125.36   12.504  2.74
   3128.10   12.551  2.74
   3130.84   12.506  2.74
   3133.58   12.429  2.74
   3136.32   12.399  2.74
   3139.06   12.440  2.74
   3141.80   12.489  2.74
   3144.54   12.519  2.74
   3147.28   12.467  2.74
   3150.02   12.421  2.74
   3152.76   12.442  2.74
   3155.50   12.447  2.74
   3158.24   12.506  2.74
   3160.98   12.529  2.74
   3163.72   12.439  2.74
   3166.46   12.394  2.74
   3169.20   12.370  2.74
   3171.94   12.314  2.74
   3174.68   12.313  2.74
   3177.42   12.382  2.74
   3180.16   12.417  2.74
   3182.90   12.420  2.74
   3185.64   12.423  2.74
   3188.38   12.385  2.74
   3191.12   12.416  2.74
   3193.86   12.402  2.74
   3196.60   12.355  2.74
   3199.34   12.336  2.74
   3202.08   12.316  2.74
   3204.82   12.280  2.74
   3207.56   12.286  2.74
   3210.30   12.368  2.74
   3213.04   12.388  2.74
   3215.78   12.349  2.74
   3218.52   12.311  2.74
   3221.26   12.339  2.74
   3224.00   12.374  2.74
   3226.74   12.386  2.74
   3229.48   12.375  2.74
   3232.22   12.376  2.74
   3234.96   12.430  2.74
   3237.70   12.390  2.74
   3240.44   12.298  2.74
   3243.18   12.284  2.74
   3245.92   12.289  2.74
   3248.66   12.304  2.74
   3251.40   12.318  2.74
   3254.14   12.284  2.74
   3256.88   12.235  2.74
   3259.62   12.187  2.74
   3262.36   12.194  2.74
   3265.10   12.213  2.74
   3267.84   12.216  2.74
   3270.58   12.234  2.74
   3273.32   12.224  2.74
   3276.06   12.237  2.74
   3278.80   12.227  2.74
   3281.54   12.195  2.74
   3284.28   12.206  2.74
   3287.02   12.211  2.74
   3289.76   12.201  2.74
   3292.50   12.148  2.74
   3295.24   12.123  2.74
   3297.98   12.122  2.74
   3300.72   12.127  2.74
   3303.46   12.119  2.74
   3306.20   12.154  2.74
   3308.94   12.212  2.74
   3311.68   12.134  2.74
   3314.42   12.125  2.74
   3317.16   12.150  2.74
   3319.90   12.147  2.74
   3322.64   12.191  2.74
   3325.38   12.162  2.74
   3328.12   12.155  2.74
   3330.86   12.167  2.74
   3333.60   12.133  2.74
   3336.34   12.182  2.74
   3339.08   12.232  2.74
   3341.82   12.166  2.74
   3344.56   12.114  2.74
   3347.30   12.140  2.74
   3350.04   12.153  2.74
   3352.78   12.139  2.74
   3355.52   12.108  2.74
   3358.26   12.131  2.74
   3361.00   12.183  2.74
   3363.74   12.145  2.74
   3366.48   12.112  2.74
   3369.22   12.139  2.74
   3371.96   12.165  2.74
   3374.70   12.141  2.74
   3377.44   12.098  2.74
   3380.18   12.137  2.74
   3382.92   12.166  2.74
   3385.66   12.117  2.74
   3388.40   12.078  2.74
   3391.14   12.086  2.74
   3393.88   12.082  2.74
   3396.62   12.045  2.74
   3399.36   12.026  2.74
   3402.10   12.069  2.74
   3404.84   12.089  2.74
   3407.58   12.104  2.74
   3410.32   12.126  2.74
   3413.06   12.122  2.74
   3415.80   12.091  2.74
   3418.54   12.073  2.74
   3421.28   12.075  2.74
   3424.02   12.075  2.74
   3426.76   12.091  2.74
   3429.50   12.017  2.74
   3432.24   12.016  2.74
   3434.98   12.012  2.74
   3437.72   12.021  2.74
   3440.46   12.108  2.74
   3443.20   12.122  2.74
   3445.94   12.076  2.74
   3448.68   12.029  2.74
   3451.42   12.037  2.74
   3454.16   12.036  2.74
   3456.90   12.019  2.74
   3459.64   12.027  2.74
   3462.38   12.020  2.74
   3465.12   12.018  2.74
   3467.86   11.997  2.74
   3470.60   12.007  2.74
   3473.34   12.038  2.74
   3476.08   12.066  2.74
   3478.82   12.020  2.74
   3481.56   12.001  2.74
   3484.30   12.045  2.74
   3487.04   12.021  2.74
   3489.78   12.032  2.74
   3492.52   12.038  2.74
   3495.26   12.037  2.74
   3498.00   12.021  2.74
   3500.74   11.963  2.74
   3503.48   11.972  2.74
   3506.22   11.980  2.74
   3508.96   11.955  2.74
   3511.70   11.969  2.74
   3514.44   11.967  2.74
   3517.18   11.948  2.74
   3519.92   11.966  2.74
   3522.66   12.029  2.74
   3525.40   12.020  2.74
   3528.14   12.012  2.74
   3530.88   11.975  2.74
