#G24-3                                                       
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   12.297  2.74
   2952.74   12.262  2.74
   2955.48   12.254  2.74
   2958.22   12.239  2.74
   2960.96   12.217  2.74
   2963.70   12.228  2.74
   2966.44   12.342  2.74
   2969.18   12.312  2.74
   2971.92   12.291  2.74
   2974.66   12.219  2.74
   2977.40   12.179  2.74
   2980.14   12.232  2.74
   2982.88   12.303  2.74
   2985.62   12.356  2.74
   2988.36   12.240  2.74
   2991.10   12.157  2.74
   2993.84   12.218  2.74
   2996.58   12.196  2.74
   2999.32   12.219  2.74
   3002.06   12.288  2.74
   3004.80   12.244  2.74
   3007.54   12.207  2.74
   3010.28   12.177  2.74
   3013.02   12.179  2.74
   3015.76   12.212  2.74
   3018.50   12.318  2.74
   3021.24   12.340  2.74
   3023.98   12.206  2.74
   3026.72   12.177  2.74
   3029.46   12.165  2.74
   3032.20   12.147  2.74
   3034.94   12.104  2.74
   3037.68   12.151  2.74
   3040.42   12.178  2.74
   3043.16   12.151  2.74
   3045.90   12.127  2.74
   3048.64   12.151  2.74
   3051.38   12.112  2.74
   3054.12   12.135  2.74
   3056.86   12.188  2.74
   3059.60   12.229  2.74
   3062.34   12.203  2.74
   3065.08   12.230  2.74
   3067.82   12.264  2.74
   3070.56   12.235  2.74
   3073.30   12.196  2.74
   3076.04   12.176  2.74
   3078.78   12.135  2.74
   3081.52   12.123  2.74
   3084.26   12.107  2.74
   3087.00   12.129  2.74
   3089.74   12.140  2.74
   3092.48   12.213  2.74
   3095.22   12.250  2.74
   3097.96   12.214  2.74
   3100.70   12.223  2.74
   3103.44   12.186  2.74
   3106.18   12.101  2.74
   3108.92   12.067  2.74
   3111.66   12.099  2.74
   3114.40   12.093  2.74
   3117.14   12.070  2.74
   3119.88   12.120  2.74
   3122.62   12.140  2.74
   3125.36   12.109  2.74
   3128.10   12.126  2.74
   3130.84   12.103  2.74
   3133.58   12.075  2.74
   3136.32   12.073  2.74
   3139.06   12.051  2.74
   3141.80   12.064  2.74
   3144.54   12.091  2.74
   3147.28   12.107  2.74
   3150.02   12.052  2.74
   3152.76   12.014  2.74
   3155.50   12.066  2.74
   3158.24   12.111  2.74
   3160.98   12.101  2.74
   3163.72   12.071  2.74
   3166.46   12.043  2.74
   3169.20   12.015  2.74
   3171.94   11.964  2.74
   3174.68   11.945  2.74
   3177.42   11.977  2.74
   3180.16   12.080  2.74
   3182.90   12.139  2.74
   3185.64   12.075  2.74
   3188.38   12.024  2.74
   3191.12   12.017  2.74
   3193.86   12.038  2.74
   3196.60   12.040  2.74
   3199.34   12.002  2.74
   3202.08   11.971  2.74
   3204.82   11.933  2.74
   3207.56   11.935  2.74
   3210.30   11.989  2.74
   3213.04   11.997  2.74
   3215.78   11.990  2.74
   3218.52   12.006  2.74
   3221.26   11.972  2.74
   3224.00   11.943  2.74
   3226.74   11.979  2.74
   3229.48   12.025  2.74
   3232.22   12.043  2.74
   3234.96   12.037  2.74
   3237.70   11.992  2.74
   3240.44   11.938  2.74
   3243.18   11.922  2.74
   3245.92   11.911  2.74
   3248.66   11.935  2.74
   3251.40   11.940  2.74
   3254.14   11.916  2.74
   3256.88   11.907  2.74
   3259.62   11.875  2.74
   3262.36   11.851  2.74
   3265.10   11.872  2.74
   3267.84   11.872  2.74
   3270.58   11.840  2.74
   3273.32   11.851  2.74
   3276.06   11.870  2.74
   3278.80   11.876  2.74
   3281.54   11.876  2.74
   3284.28   11.894  2.74
   3287.02   11.920  2.74
   3289.76   11.885  2.74
   3292.50   11.848  2.74
   3295.24   11.820  2.74
   3297.98   11.805  2.74
   3300.72   11.833  2.74
   3303.46   11.827  2.74
   3306.20   11.856  2.74
   3308.94   11.914  2.74
   3311.68   11.879  2.74
   3314.42   11.865  2.74
   3317.16   11.879  2.74
   3319.90   11.861  2.74
   3322.64   11.881  2.74
   3325.38   11.880  2.74
   3328.12   11.878  2.74
   3330.86   11.911  2.74
   3333.60   11.873  2.74
   3336.34   11.880  2.74
   3339.08   11.908  2.74
   3341.82   11.895  2.74
   3344.56   11.866  2.74
   3347.30   11.854  2.74
   3350.04   11.911  2.74
   3352.78   11.883  2.74
   3355.52   11.832  2.74
   3358.26   11.942  2.74
   3361.00   12.183  2.74
   3363.74   12.184  2.74
   3366.48   11.989  2.74
   3369.22   11.957  2.74
   3371.96   12.030  2.74
   3374.70   12.019  2.74
   3377.44   11.907  2.74
   3380.18   11.868  2.74
   3382.92   11.900  2.74
   3385.66   11.864  2.74
   3388.40   11.862  2.74
   3391.14   11.863  2.74
   3393.88   11.853  2.74
   3396.62   11.830  2.74
   3399.36   11.767  2.74
   3402.10   11.786  2.74
   3404.84   11.807  2.74
   3407.58   11.802  2.74
   3410.32   11.813  2.74
   3413.06   11.822  2.74
   3415.80   11.819  2.74
   3418.54   11.798  2.74
   3421.28   11.764  2.74
   3424.02   11.763  2.74
   3426.76   11.772  2.74
   3429.50   11.702  2.74
   3432.24   11.692  2.74
   3434.98   11.711  2.74
   3437.72   11.663  2.74
   3440.46   11.743  2.74
   3443.20   11.810  2.74
   3445.94   11.796  2.74
   3448.68   11.730  2.74
   3451.42   11.715  2.74
   3454.16   11.704  2.74
   3456.90   11.700  2.74
   3459.64   11.702  2.74
   3462.38   11.715  2.74
   3465.12   11.703  2.74
   3467.86   11.668  2.74
   3470.60   11.666  2.74
   3473.34   11.667  2.74
   3476.08   11.718  2.74
   3478.82   11.718  2.74
   3481.56   11.676  2.74
   3484.30   11.658  2.74
   3487.04   11.649  2.74
   3489.78   11.651  2.74
   3492.52   11.677  2.74
   3495.26   11.686  2.74
   3498.00   11.684  2.74
   3500.74   11.660  2.74
   3503.48   11.646  2.74
   3506.22   11.669  2.74
   3508.96   11.665  2.74
   3511.70   11.658  2.74
   3514.44   11.662  2.74
   3517.18   11.649  2.74
   3519.92   11.646  2.74
   3522.66   11.681  2.74
   3525.40   11.693  2.74
   3528.14   11.691  2.74
   3530.88   11.662  2.74
   3533.62   11.616  2.74
   3536.36   11.608  2.74
   3539.10   11.598  2.74
   3541.84   11.591  2.74
   3544.58   11.583  2.74
   3547.32   11.558  2.74
   3550.06   11.573  2.74
   3552.80   11.592  2.74
   3555.54   11.600  2.74
   3558.28   11.583  2.74
   3561.02   11.572  2.74
   3563.76   11.584  2.74
   3566.50   11.621  2.74
   3569.24   11.631  2.74
   3571.98   11.678  2.74
   3574.72   11.664  2.74
   3577.46   11.623  2.74
   3580.20   11.638  2.74
   3582.94   11.671  2.74
   3585.68   11.694  2.74
   3588.42   11.713  2.74
   3591.16   11.665  2.74
   3593.90   11.611  2.74
   3596.64   11.559  2.74
   3599.38   11.560  2.74
   3602.12   11.565  2.74
   3604.86   11.576  2.74
   3607.60   11.578  2.74
   3610.34   11.607  2.74
   3613.08   11.600  2.74
   3615.82   11.576  2.74
   3618.56   11.582  2.74
   3621.30   11.611  2.74
   3624.04   11.585  2.74
   3626.78   11.542  2.74
   3629.52   11.522  2.74
   3632.26   11.572  2.74
   3635.00   11.593  2.74
   3637.74   11.525  2.74
   3640.48   11.509  2.74
   3643.22   11.498  2.74
   3645.96   11.531  2.74
   3648.70   11.540  2.74
   3651.44   11.519  2.74
   3654.18   11.495  2.74
   3656.92   11.478  2.74
   3659.66   11.491  2.74
   3662.40   11.470  2.74
   3665.14   11.468  2.74
   3667.88   11.480  2.74
   3670.62   11.474  2.74
   3673.36   11.467  2.74
   3676.10   11.459  2.74
   3678.84   11.479  2.74
   3681.58   11.511  2.74
   3684.32   11.532  2.74
   3687.06   11.516  2.74
   3689.80   11.499  2.74
   3692.54   11.481  2.74
   3695.28   11.460  2.74
   3698.02   11.463  2.74
   3700.76   11.449  2.74
   3703.50   11.467  2.74
   3706.24   11.526  2.74
   3708.98   11.531  2.74
   3711.72   11.496  2.74
   3714.46   11.480  2.74
   3717.20   11.430  2.74
   3719.94   11.419  2.74
   3722.68   11.517  2.74
   3725.42   11.490  2.74
   3728.16   11.382  2.74
   3730.90   11.405  2.74
   3733.64   11.486  2.74
   3736.38   11.617  2.74
   3739.12   11.551  2.74
   3741.86   11.384  2.74
   3744.60   11.377  2.74
   3747.34   11.458  2.74
   3750.08   11.581  2.74
   3752.82   11.550  2.74
   3755.56   11.372  2.74
   3758.30   11.308  2.74
   3761.04   11.325  2.74
   3763.78   11.318  2.74
   3766.52   11.335  2.74
   3769.26   11.421  2.74
   3772.00   11.502  2.74
   3774.74   11.400  2.74
   3777.48   11.300  2.74
   3780.22   11.218  2.74
   3782.96   11.175  2.74
   3785.70   11.178  2.74
   3788.44   11.237  2.74
   3791.18   11.231  2.74
   3793.92   11.277  2.74
   3796.66   11.421  2.74
   3799.40   11.530  2.74
   3802.14   11.415  2.74
   3804.88   11.273  2.74
   3807.62   11.213  2.74
   3810.36   11.163  2.74
   3813.10   11.155  2.74
   3815.84   11.200  2.74
   3818.58   11.210  2.74
   3821.32   11.197  2.74
   3824.06   11.225  2.74
   3826.80   11.284  2.74
   3829.54   11.330  2.74
   3832.28   11.414  2.74
   3835.02   11.559  2.74
   3837.76   11.597  2.74
   3840.50   11.456  2.74
   3843.24   11.282  2.74
   3845.98   11.198  2.74
   3848.72   11.152  2.74
   3851.46   11.139  2.74
   3854.20   11.121  2.74
   3856.94   11.134  2.74
   3859.68   11.155  2.74
   3862.42   11.145  2.74
   3865.16   11.103  2.74
   3867.90   11.116  2.74
   3870.64   11.094  2.74
   3873.38   11.138  2.74
   3876.12   11.139  2.74
   3878.86   11.160  2.74
   3881.60   11.190  2.74
   3884.34   11.235  2.74
   3887.08   11.365  2.74
   3889.82   11.497  2.74
   3892.56   11.398  2.74
   3895.30   11.250  2.74
   3898.04   11.167  2.74
   3900.78   11.159  2.74
   3903.52   11.137  2.74
   3906.26   11.145  2.74
   3909.00   11.117  2.74
   3911.74   11.072  2.74
   3914.48   11.061  2.74
   3917.22   11.065  2.74
   3919.96   11.098  2.74
   3922.70   11.100  2.74
   3925.44   11.126  2.74
   3928.18   11.217  2.74
   3930.92   11.464  2.74
   3933.66   11.912  2.74
   3936.40   11.910  2.74
   3939.14   11.430  2.74
   3941.88   11.182  2.74
   3944.62   11.120  2.74
   3947.36   11.081  2.74
   3950.10   11.074  2.74
   3952.84   11.084  2.74
   3955.58   11.072  2.74
   3958.32   11.083  2.74
   3961.06   11.129  2.74
   3963.80   11.235  2.74
   3966.54   11.467  2.74
   3969.28   11.908  2.74
   3972.02   11.745  2.74
   3974.76   11.364  2.74
   3977.50   11.174  2.74
   3980.24   11.079  2.74
   3982.98   11.044  2.74
   3985.72   10.996  2.74
   3988.46   10.987  2.74
   3991.20   10.982  2.74
   3993.94   10.966  2.74
   3996.68   10.981  2.74
   3999.42   11.000  2.74
   4002.16   10.969  2.74
   4004.90   10.983  2.74
   4007.64   10.981  2.74
   4010.38   10.943  2.74
   4013.12   10.948  2.74
   4015.86   10.947  2.74
   4018.60   10.939  2.74
   4021.34   10.928  2.74
   4024.08   10.928  2.74
   4026.82   10.928  2.74
   4029.56   10.937  2.74
   4032.30   10.959  2.74
   4035.04   10.964  2.74
   4037.78   10.927  2.74
   4040.52   10.922  2.74
   4043.26   10.940  2.74
   4046.00   10.952  2.74
   4048.74   10.926  2.74
   4051.48   10.918  2.74
   4054.22   10.901  2.74
   4056.96   10.934  2.74
   4059.70   10.914  2.74
   4062.44   10.937  2.74
   4065.18   10.949  2.74
   4067.92   10.940  2.74
   4070.66   10.928  2.74
   4073.40   10.944  2.74
   4076.14   10.931  2.74
   4078.88   10.946  2.74
   4081.62   10.935  2.74
   4084.36   10.926  2.74
   4087.10   10.931  2.74
   4089.84   10.933  2.74
   4092.58   10.954  2.74
   4095.32   10.984  2.74
   4098.06   11.082  2.74
   4100.80   11.223  2.74
   4103.54   11.278  2.74
   4106.28   11.126  2.74
   4109.02   11.006  2.74
   4111.76   10.963  2.74
   4114.50   10.934  2.74
   4117.24   10.920  2.74
   4119.98   10.915  2.74
   4122.72   10.911  2.74
   4125.46   10.897  2.74
   4128.20   10.899  2.74
   4130.94   10.912  2.74
   4133.68   10.914  2.74
   4136.42   10.898  2.74
   4139.16   10.872  2.74
   4141.90   10.882  2.74
   4144.64   10.913  2.74
   4147.38   10.881  2.74
   4150.12   10.880  2.74
   4152.86   10.867  2.74
   4155.60   10.893  2.74
   4158.34   10.857  2.74
   4161.08   10.866  2.74
   4163.82   10.863  2.74
   4166.56   10.875  2.74
   4169.30   10.890  2.74
   4172.04   10.890  2.74
   4174.78   10.887  2.74
   4177.52   10.906  2.74
   4180.26   10.887  2.74
   4183.00   10.891  2.74
   4185.74   10.864  2.74
   4188.48   10.882  2.74
   4191.22   10.891  2.74
   4193.96   10.864  2.74
   4196.70   10.854  2.74
   4199.44   10.890  2.74
   4202.18   10.880  2.74
   4204.92   10.866  2.74
   4207.66   10.858  2.74
   4210.40   10.843  2.74
   4213.14   10.858  2.74
   4215.88   10.869  2.74
   4218.62   10.879  2.74
   4221.36   10.855  2.74
   4224.10   10.875  2.74
   4226.84   10.914  2.74
   4229.58   10.884  2.74
   4232.32   10.851  2.74
   4235.06   10.872  2.74
   4237.80   10.874  2.74
   4240.54   10.853  2.74
   4243.28   10.837  2.74
   4246.02   10.849  2.74
   4248.76   10.866  2.74
   4251.50   10.860  2.74
   4254.24   10.852  2.74
   4256.98   10.840  2.74
   4259.72   10.845  2.74
   4262.46   10.851  2.74
   4265.20   10.833  2.74
   4267.94   10.819  2.74
   4270.68   10.836  2.74
   4273.42   10.871  2.74
   4276.16   10.846  2.74
