#HD187111                                                    
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   13.250  2.74
   2952.74   13.142  2.74
   2955.48   13.113  2.74
   2958.22   13.035  2.74
   2960.96   13.023  2.74
   2963.70   13.087  2.74
   2966.44   13.470  2.74
   2969.18   13.404  2.74
   2971.92   13.206  2.74
   2974.66   12.962  2.74
   2977.40   12.849  2.74
   2980.14   13.092  2.74
   2982.88   13.352  2.74
   2985.62   13.249  2.74
   2988.36   12.936  2.74
   2991.10   12.816  2.74
   2993.84   12.955  2.74
   2996.58   12.867  2.74
   2999.32   12.976  2.74
   3002.06   13.137  2.74
   3004.80   12.944  2.74
   3007.54   12.978  2.74
   3010.28   12.727  2.74
   3013.02   12.769  2.74
   3015.76   12.869  2.74
   3018.50   13.136  2.74
   3021.24   13.246  2.74
   3023.98   12.906  2.74
   3026.72   12.778  2.74
   3029.46   12.723  2.74
   3032.20   12.657  2.74
   3034.94   12.552  2.74
   3037.68   12.695  2.74
   3040.42   12.711  2.74
   3043.16   12.696  2.74
   3045.90   12.603  2.74
   3048.64   12.616  2.74
   3051.38   12.464  2.74
   3054.12   12.603  2.74
   3056.86   12.761  2.74
   3059.60   12.926  2.74
   3062.34   12.909  2.74
   3065.08   12.962  2.74
   3067.82   13.015  2.74
   3070.56   12.862  2.74
   3073.30   12.761  2.74
   3076.04   12.599  2.74
   3078.78   12.548  2.74
   3081.52   12.605  2.74
   3084.26   12.587  2.74
   3087.00   12.622  2.74
   3089.74   12.899  2.74
   3092.48   12.822  2.74
   3095.22   12.778  2.74
   3097.96   12.838  2.74
   3100.70   12.895  2.74
   3103.44   12.700  2.74
   3106.18   12.483  2.74
   3108.92   12.422  2.74
   3111.66   12.303  2.74
   3114.40   12.313  2.74
   3117.14   12.377  2.74
   3119.88   12.561  2.74
   3122.62   12.669  2.74
   3125.36   12.599  2.74
   3128.10   12.622  2.74
   3130.84   12.530  2.74
   3133.58   12.484  2.74
   3136.32   12.405  2.74
   3139.06   12.353  2.74
   3141.80   12.437  2.74
   3144.54   12.508  2.74
   3147.28   12.523  2.74
   3150.02   12.341  2.74
   3152.76   12.297  2.74
   3155.50   12.373  2.74
   3158.24   12.456  2.74
   3160.98   12.532  2.74
   3163.72   12.461  2.74
   3166.46   12.373  2.74
   3169.20   12.153  2.74
   3171.94   12.031  2.74
   3174.68   11.974  2.74
   3177.42   11.958  2.74
   3180.16   12.105  2.74
   3182.90   12.292  2.74
   3185.64   12.236  2.74
   3188.38   12.242  2.74
   3191.12   12.189  2.74
   3193.86   12.259  2.74
   3196.60   12.205  2.74
   3199.34   11.992  2.74
   3202.08   11.974  2.74
   3204.82   11.906  2.74
   3207.56   11.871  2.74
   3210.30   12.019  2.74
   3213.04   12.116  2.74
   3215.78   12.138  2.74
   3218.52   12.012  2.74
   3221.26   11.952  2.74
   3224.00   12.007  2.74
   3226.74   12.045  2.74
   3229.48   12.120  2.74
   3232.22   12.138  2.74
   3234.96   12.167  2.74
   3237.70   12.122  2.74
   3240.44   11.947  2.74
   3243.18   11.914  2.74
   3245.92   11.775  2.74
   3248.66   11.812  2.74
   3251.40   11.849  2.74
   3254.14   11.803  2.74
   3256.88   11.635  2.74
   3259.62   11.536  2.74
   3262.36   11.532  2.74
   3265.10   11.603  2.74
   3267.84   11.565  2.74
   3270.58   11.516  2.74
   3273.32   11.602  2.74
   3276.06   11.553  2.74
   3278.80   11.619  2.74
   3281.54   11.640  2.74
   3284.28   11.627  2.74
   3287.02   11.621  2.74
   3289.76   11.553  2.74
   3292.50   11.400  2.74
   3295.24   11.352  2.74
   3297.98   11.343  2.74
   3300.72   11.358  2.74
   3303.46   11.415  2.74
   3306.20   11.469  2.74
   3308.94   11.555  2.74
   3311.68   11.482  2.74
   3314.42   11.480  2.74
   3317.16   11.509  2.74
   3319.90   11.449  2.74
   3322.64   11.494  2.74
   3325.38   11.513  2.74
   3328.12   11.461  2.74
   3330.86   11.475  2.74
   3333.60   11.473  2.74
   3336.34   11.574  2.74
   3339.08   11.609  2.74
   3341.82   11.511  2.74
   3344.56   11.470  2.74
   3347.30   11.449  2.74
   3350.04   11.547  2.74
   3352.78   11.448  2.74
   3355.52   11.383  2.74
   3358.26   11.576  2.74
   3361.00   11.979  2.74
   3363.74   11.784  2.74
   3366.48   11.549  2.74
   3369.22   11.674  2.74
   3371.96   11.837  2.74
   3374.70   11.691  2.74
   3377.44   11.452  2.74
   3380.18   11.504  2.74
   3382.92   11.510  2.74
   3385.66   11.479  2.74
   3388.40   11.497  2.74
   3391.14   11.397  2.74
   3393.88   11.433  2.74
   3396.62   11.313  2.74
   3399.36   11.144  2.74
   3402.10   11.105  2.74
   3404.84   11.177  2.74
   3407.58   11.240  2.74
   3410.32   11.248  2.74
   3413.06   11.261  2.74
   3415.80   11.273  2.74
   3418.54   11.183  2.74
   3421.28   11.091  2.74
   3424.02   11.075  2.74
   3426.76   11.076  2.74
   3429.50   10.971  2.74
   3432.24   10.989  2.74
   3434.98   11.049  2.74
   3437.72   11.023  2.74
   3440.46   11.211  2.74
   3443.20   11.305  2.74
   3445.94   11.202  2.74
   3448.68   11.024  2.74
   3451.42   10.949  2.74
   3454.16   10.945  2.74
   3456.90   10.946  2.74
   3459.64   10.970  2.74
   3462.38   11.033  2.74
   3465.12   10.942  2.74
   3467.86   10.916  2.74
   3470.60   10.882  2.74
   3473.34   10.944  2.74
   3476.08   11.095  2.74
   3478.82   11.065  2.74
   3481.56   10.923  2.74
   3484.30   10.886  2.74
   3487.04   10.833  2.74
   3489.78   10.858  2.74
   3492.52   10.969  2.74
   3495.26   10.968  2.74
   3498.00   10.967  2.74
   3500.74   10.835  2.74
   3503.48   10.769  2.74
   3506.22   10.782  2.74
   3508.96   10.800  2.74
   3511.70   10.825  2.74
   3514.44   10.879  2.74
   3517.18   10.806  2.74
   3519.92   10.754  2.74
   3522.66   10.885  2.74
   3525.40   10.988  2.74
   3528.14   10.926  2.74
   3530.88   10.765  2.74
   3533.62   10.696  2.74
   3536.36   10.653  2.74
   3539.10   10.623  2.74
   3541.84   10.589  2.74
   3544.58   10.579  2.74
   3547.32   10.598  2.74
   3550.06   10.607  2.74
   3552.80   10.629  2.74
   3555.54   10.623  2.74
   3558.28   10.612  2.74
   3561.02   10.615  2.74
   3563.76   10.640  2.74
   3566.50   10.773  2.74
   3569.24   10.846  2.74
   3571.98   10.856  2.74
   3574.72   10.775  2.74
   3577.46   10.762  2.74
   3580.20   10.766  2.74
   3582.94   10.877  2.74
   3585.68   10.915  2.74
   3588.42   10.959  2.74
   3591.16   10.786  2.74
   3593.90   10.613  2.74
   3596.64   10.546  2.74
   3599.38   10.498  2.74
   3602.12   10.499  2.74
   3604.86   10.601  2.74
   3607.60   10.630  2.74
   3610.34   10.702  2.74
   3613.08   10.686  2.74
   3615.82   10.630  2.74
   3618.56   10.650  2.74
   3621.30   10.663  2.74
   3624.04   10.538  2.74
   3626.78   10.433  2.74
   3629.52   10.441  2.74
   3632.26   10.610  2.74
   3635.00   10.613  2.74
   3637.74   10.559  2.74
   3640.48   10.437  2.74
   3643.22   10.470  2.74
   3645.96   10.560  2.74
   3648.70   10.571  2.74
   3651.44   10.526  2.74
   3654.18   10.417  2.74
   3656.92   10.355  2.74
   3659.66   10.319  2.74
   3662.40   10.304  2.74
   3665.14   10.362  2.74
   3667.88   10.358  2.74
   3670.62   10.367  2.74
   3673.36   10.310  2.74
   3676.10   10.296  2.74
   3678.84   10.346  2.74
   3681.58   10.371  2.74
   3684.32   10.336  2.74
   3687.06   10.391  2.74
   3689.80   10.366  2.74
   3692.54   10.273  2.74
   3695.28   10.246  2.74
   3698.02   10.208  2.74
   3700.76   10.144  2.74
   3703.50   10.221  2.74
   3706.24   10.391  2.74
   3708.98   10.390  2.74
   3711.72   10.283  2.74
   3714.46   10.147  2.74
   3717.20   10.126  2.74
   3719.94   10.301  2.74
   3722.68   10.472  2.74
   3725.42   10.305  2.74
   3728.16   10.252  2.74
   3730.90   10.287  2.74
   3733.64   10.412  2.74
   3736.38   10.590  2.74
   3739.12   10.450  2.74
   3741.86   10.266  2.74
   3744.60   10.324  2.74
   3747.34   10.460  2.74
   3750.08   10.524  2.74
   3752.82   10.296  2.74
   3755.56   10.122  2.74
   3758.30   10.207  2.74
   3761.04   10.300  2.74
   3763.78   10.205  2.74
   3766.52   10.155  2.74
   3769.26   10.121  2.74
   3772.00   10.068  2.74
   3774.74   10.021  2.74
   3777.48   10.015  2.74
   3780.22    9.982  2.74
   3782.96    9.944  2.74
   3785.70    9.980  2.74
   3788.44   10.102  2.74
   3791.18   10.126  2.74
   3793.92   10.140  2.74
   3796.66   10.183  2.74
   3799.40   10.195  2.74
   3802.14   10.037  2.74
   3804.88    9.929  2.74
   3807.62    9.970  2.74
   3810.36    9.975  2.74
   3813.10   10.030  2.74
   3815.84   10.147  2.74
   3818.58   10.149  2.74
   3821.32   10.257  2.74
   3824.06   10.268  2.74
   3826.80   10.338  2.74
   3829.54   10.284  2.74
   3832.28   10.274  2.74
   3835.02   10.351  2.74
   3837.76   10.303  2.74
   3840.50   10.265  2.74
   3843.24   10.135  2.74
   3845.98   10.036  2.74
   3848.72   10.029  2.74
   3851.46   10.066  2.74
   3854.20   10.049  2.74
   3856.94   10.086  2.74
   3859.68   10.190  2.74
   3862.42   10.103  2.74
   3865.16   10.008  2.74
   3867.90   10.011  2.74
   3870.64   10.102  2.74
   3873.38   10.193  2.74
   3876.12   10.118  2.74
   3878.86   10.127  2.74
   3881.60   10.144  2.74
   3884.34   10.120  2.74
   3887.08   10.129  2.74
   3889.82   10.081  2.74
   3892.56    9.966  2.74
   3895.30    9.949  2.74
   3898.04    9.940  2.74
   3900.78    9.943  2.74
   3903.52    9.935  2.74
   3906.26    9.966  2.74
   3909.00    9.934  2.74
   3911.74    9.870  2.74
   3914.48    9.881  2.74
   3917.22    9.933  2.74
   3919.96   10.036  2.74
   3922.70   10.135  2.74
   3925.44   10.249  2.74
   3928.18   10.545  2.74
   3930.92   11.066  2.74
   3933.66   11.540  2.74
   3936.40   11.361  2.74
   3939.14   10.825  2.74
   3941.88   10.443  2.74
   3944.62   10.197  2.74
   3947.36   10.032  2.74
   3950.10    9.940  2.74
   3952.84    9.895  2.74
   3955.58    9.859  2.74
   3958.32    9.877  2.74
   3961.06   10.000  2.74
   3963.80   10.326  2.74
   3966.54   10.834  2.74
   3969.28   11.184  2.74
   3972.02   10.819  2.74
   3974.76   10.282  2.74
   3977.50    9.925  2.74
   3980.24    9.747  2.74
   3982.98    9.689  2.74
   3985.72    9.623  2.74
   3988.46    9.578  2.74
   3991.20    9.538  2.74
   3993.94    9.526  2.74
   3996.68    9.567  2.74
   3999.42    9.544  2.74
   4002.16    9.477  2.74
   4004.90    9.501  2.74
   4007.64    9.500  2.74
   4010.38    9.445  2.74
   4013.12    9.422  2.74
   4015.86    9.403  2.74
   4018.60    9.407  2.74
   4021.34    9.419  2.74
   4024.08    9.420  2.74
   4026.82    9.369  2.74
   4029.56    9.375  2.74
   4032.30    9.439  2.74
   4035.04    9.408  2.74
   4037.78    9.319  2.74
   4040.52    9.319  2.74
   4043.26    9.365  2.74
   4046.00    9.424  2.74
   4048.74    9.370  2.74
   4051.48    9.322  2.74
   4054.22    9.337  2.74
   4056.96    9.353  2.74
   4059.70    9.338  2.74
   4062.44    9.345  2.74
   4065.18    9.375  2.74
   4067.92    9.346  2.74
   4070.66    9.307  2.74
   4073.40    9.321  2.74
   4076.14    9.388  2.74
   4078.88    9.404  2.74
   4081.62    9.315  2.74
   4084.36    9.284  2.74
   4087.10    9.246  2.74
   4089.84    9.187  2.74
   4092.58    9.191  2.74
   4095.32    9.230  2.74
   4098.06    9.278  2.74
   4100.80    9.365  2.74
   4103.54    9.361  2.74
   4106.28    9.272  2.74
   4109.02    9.248  2.74
   4111.76    9.252  2.74
   4114.50    9.213  2.74
   4117.24    9.211  2.74
   4119.98    9.230  2.74
   4122.72    9.225  2.74
   4125.46    9.209  2.74
   4128.20    9.225  2.74
   4130.94    9.260  2.74
   4133.68    9.277  2.74
   4136.42    9.220  2.74
   4139.16    9.168  2.74
   4141.90    9.224  2.74
   4144.64    9.264  2.74
   4147.38    9.214  2.74
   4150.12    9.199  2.74
   4152.86    9.204  2.74
   4155.60    9.196  2.74
   4158.34    9.156  2.74
   4161.08    9.114  2.74
   4163.82    9.112  2.74
   4166.56    9.124  2.74
   4169.30    9.141  2.74
   4172.04    9.217  2.74
   4174.78    9.259  2.74
   4177.52    9.210  2.74
   4180.26    9.159  2.74
   4183.00    9.146  2.74
   4185.74    9.146  2.74
   4188.48    9.147  2.74
   4191.22    9.133  2.74
   4193.96    9.111  2.74
   4196.70    9.149  2.74
   4199.44    9.208  2.74
   4202.18    9.212  2.74
   4204.92    9.184  2.74
   4207.66    9.120  2.74
   4210.40    9.078  2.74
   4213.14    9.082  2.74
   4215.88    9.114  2.74
   4218.62    9.090  2.74
   4221.36    9.068  2.74
   4224.10    9.163  2.74
   4226.84    9.256  2.74
   4229.58    9.160  2.74
   4232.32    9.081  2.74
   4235.06    9.110  2.74
   4237.80    9.126  2.74
   4240.54    9.086  2.74
   4243.28    9.045  2.74
   4246.02    9.067  2.74
   4248.76    9.117  2.74
   4251.50    9.096  2.74
   4254.24    9.069  2.74
   4256.98    9.071  2.74
   4259.72    9.092  2.74
   4262.46    9.063  2.74
   4265.20    8.998  2.74
   4267.94    9.013  2.74
   4270.68    9.093  2.74
   4273.42    9.135  2.74
   4276.16    9.075  2.74
   4278.90    9.039  2.74
   4281.64    9.066  2.74
   4284.38    9.096  2.74
   4287.12    9.130  2.74
   4289.86    9.193  2.74
   4292.60    9.175  2.74
   4295.34    9.149  2.74
   4298.08    9.257  2.74
   4300.82    9.368  2.74
   4303.56    9.377  2.74
   4306.30    9.363  2.74
   4309.04    9.385  2.74
   4311.78    9.311  2.74
   4314.52    9.115  2.74
   4317.26    8.936  2.74
   4320.00    8.889  2.74
   4322.74    8.975  2.74
   4325.48    9.032  2.74
   4328.22    8.954  2.74
   4330.96    8.877  2.74
   4333.70    8.863  2.74
   4336.44    8.918  2.74
   4339.18    9.043  2.74
   4341.92    9.027  2.74
   4344.66    8.902  2.74
   4347.40    8.855  2.74
   4350.14    8.888  2.74
   4352.88    8.919  2.74
   4355.62    8.880  2.74
   4358.36    8.859  2.74
   4361.10    8.842  2.74
   4363.84    8.810  2.74
   4366.58    8.820  2.74
   4369.32    8.851  2.74
   4372.06    8.883  2.74
   4374.80    8.907  2.74
   4377.54    8.881  2.74
   4380.28    8.857  2.74
   4383.02    8.943  2.74
   4385.76    8.964  2.74
   4388.50    8.892  2.74
   4391.24    8.861  2.74
   4393.98    8.839  2.74
   4396.72    8.823  2.74
   4399.46    8.830  2.74
   4402.20    8.844  2.74
   4404.94    8.845  2.74
   4407.68    8.854  2.74
   4410.42    8.788  2.74
   4413.16    8.751  2.74
   4415.90    8.787  2.74
   4418.64    8.769  2.74
   4421.38    8.734  2.74
   4424.12    8.744  2.74
   4426.86    8.748  2.74
   4429.60    8.760  2.74
   4432.34    8.767  2.74
   4435.08    8.762  2.74
   4437.82    8.721  2.74
   4440.56    8.718  2.74
   4443.30    8.767  2.74
   4446.04    8.739  2.74
   4448.78    8.706  2.74
   4451.52    8.710  2.74
   4454.26    8.735  2.74
   4457.00    8.756  2.74
   4459.74    8.756  2.74
   4462.48    8.738  2.74
   4465.22    8.703  2.74
   4467.96    8.709  2.74
   4470.70    8.684  2.74
   4473.44    8.627  2.74
   4476.18    8.595  2.74
   4478.92    8.606  2.74
   4481.66    8.634  2.74
   4484.40    8.618  2.74
   4487.14    8.604  2.74
   4489.88    8.623  2.74
   4492.62    8.620  2.74
   4495.36    8.621  2.74
   4498.10    8.601  2.74
   4500.84    8.575  2.74
   4503.58    8.549  2.74
   4506.32    8.531  2.74
   4509.06    8.541  2.74
   4511.80    8.547  2.74
   4514.54    8.567  2.74
   4517.28    8.579  2.74
   4520.02    8.582  2.74
   4522.76    8.590  2.74
   4525.50    8.622  2.74
   4528.24    8.647  2.74
   4530.98    8.644  2.74
   4533.72    8.643  2.74
   4536.46    8.608  2.74
   4539.20    8.542  2.74
   4541.94    8.550  2.74
   4544.68    8.574  2.74
   4547.42    8.602  2.74
   4550.16    8.607  2.74
   4552.90    8.588  2.74
   4555.64    8.566  2.74
   4558.38    8.513  2.74
   4561.12    8.510  2.74
   4563.86    8.528  2.74
   4566.60    8.512  2.74
   4569.34    8.504  2.74
   4572.08    8.514  2.74
   4574.82    8.494  2.74
   4577.56    8.501  2.74
   4580.30    8.532  2.74
   4583.04    8.529  2.74
   4585.78    8.505  2.74
   4588.52    8.485  2.74
   4591.26    8.494  2.74
   4594.00    8.501  2.74
   4596.74    8.473  2.74
   4599.48    8.472  2.74
   4602.22    8.481  2.74
   4604.96    8.456  2.74
   4607.70    8.436  2.74
   4610.44    8.432  2.74
   4613.18    8.440  2.74
   4615.92    8.439  2.74
   4618.66    8.431  2.74
   4621.40    8.412  2.74
