#VMa2                                                        
#                                                            
#  BESSELL 2008 from Heap-Lindler STIS standards             
# wavelength  ABmag  band
   3100.00   15.942  4.00
   3104.00   15.664  4.00
   3108.00   15.628  4.00
   3112.00   15.568  4.00
   3116.00   15.505  4.00
   3120.00   15.445  4.00
   3124.00   15.388  4.00
   3128.00   15.333  4.00
   3132.00   15.281  4.00
   3136.00   15.231  4.00
   3140.00   15.183  4.00
   3144.00   15.138  4.00
   3148.00   15.100  4.00
   3152.00   15.062  4.00
   3156.00   15.018  4.00
   3160.00   14.971  4.00
   3164.00   14.926  4.00
   3168.00   14.883  4.00
   3172.00   14.841  4.00
   3176.00   14.801  4.00
   3180.00   14.762  4.00
   3184.00   14.724  4.00
   3188.00   14.687  4.00
   3192.00   14.651  4.00
   3196.00   14.616  4.00
   3200.00   14.585  4.00
   3204.00   14.562  4.00
   3208.00   14.542  4.00
   3212.00   14.513  4.00
   3216.00   14.480  4.00
   3220.00   14.463  4.00
   3224.00   14.453  4.00
   3228.00   14.428  4.00
   3232.00   14.387  4.00
   3236.00   14.355  4.00
   3240.00   14.334  4.00
   3244.00   14.316  4.00
   3248.00   14.304  4.00
   3252.00   14.304  4.00
   3256.00   14.294  4.00
   3260.00   14.259  4.00
   3264.00   14.229  4.00
   3268.00   14.212  4.00
   3272.00   14.192  4.00
   3276.00   14.174  4.00
   3280.00   14.155  4.00
   3284.00   14.135  4.00
   3288.00   14.127  4.00
   3292.00   14.120  4.00
   3296.00   14.098  4.00
   3300.00   14.073  4.00
   3304.00   14.055  4.00
   3308.00   14.044  4.00
   3312.00   14.041  4.00
   3316.00   14.037  4.00
   3320.00   14.012  4.00
   3324.00   13.977  4.00
   3328.00   13.956  4.00
   3332.00   13.952  4.00
   3336.00   13.947  4.00
   3340.00   13.940  4.00
   3344.00   13.931  4.00
   3348.00   13.922  4.00
   3352.00   13.919  4.00
   3356.00   13.913  4.00
   3360.00   13.894  4.00
   3364.00   13.870  4.00
   3368.00   13.854  4.00
   3372.00   13.851  4.00
   3376.00   13.854  4.00
   3380.00   13.845  4.00
   3384.00   13.831  4.00
   3388.00   13.823  4.00
   3392.00   13.819  4.00
   3396.00   13.819  4.00
   3400.00   13.820  4.00
   3404.00   13.812  4.00
   3408.00   13.798  4.00
   3412.00   13.791  4.00
   3416.00   13.794  4.00
   3420.00   13.801  4.00
   3424.00   13.806  4.00
   3428.00   13.815  4.00
   3432.00   13.831  4.00
   3436.00   13.845  4.00
   3440.00   13.836  4.00
   3444.00   13.798  4.00
   3448.00   13.752  4.00
   3452.00   13.722  4.00
   3456.00   13.708  4.00
   3460.00   13.702  4.00
   3464.00   13.698  4.00
   3468.00   13.691  4.00
   3472.00   13.676  4.00
   3476.00   13.654  4.00
   3480.00   13.635  4.00
   3484.00   13.626  4.00
   3488.00   13.622  4.00
   3492.00   13.613  4.00
   3496.00   13.602  4.00
   3500.00   13.590  4.00
   3504.00   13.577  4.00
   3508.00   13.569  4.00
   3512.00   13.566  4.00
   3516.00   13.565  4.00
   3520.00   13.561  4.00
   3524.00   13.554  4.00
   3528.00   13.548  4.00
   3532.00   13.543  4.00
   3536.00   13.537  4.00
   3540.00   13.535  4.00
   3544.00   13.541  4.00
   3548.00   13.555  4.00
   3552.00   13.571  4.00
   3556.00   13.586  4.00
   3560.00   13.599  4.00
   3564.00   13.611  4.00
   3568.00   13.619  4.00
   3572.00   13.620  4.00
   3576.00   13.613  4.00
   3580.00   13.594  4.00
   3584.00   13.563  4.00
   3588.00   13.527  4.00
   3592.00   13.498  4.00
   3596.00   13.478  4.00
   3600.00   13.467  4.00
   3604.00   13.469  4.00
   3608.00   13.473  4.00
   3612.00   13.470  4.00
   3616.00   13.462  4.00
   3620.00   13.454  4.00
   3624.00   13.445  4.00
   3628.00   13.435  4.00
   3632.00   13.424  4.00
   3636.00   13.418  4.00
   3640.00   13.417  4.00
   3644.00   13.419  4.00
   3648.00   13.417  4.00
   3652.00   13.411  4.00
   3656.00   13.413  4.00
   3660.00   13.424  4.00
   3664.00   13.431  4.00
   3668.00   13.433  4.00
   3672.00   13.444  4.00
   3676.00   13.464  4.00
   3680.00   13.480  4.00
   3684.00   13.491  4.00
   3688.00   13.503  4.00
   3692.00   13.521  4.00
   3696.00   13.551  4.00
   3700.00   13.590  4.00
   3704.00   13.628  4.00
   3708.00   13.672  4.00
   3712.00   13.726  4.00
   3716.00   13.779  4.00
   3720.00   13.803  4.00
   3724.00   13.797  4.00
   3728.00   13.798  4.00
   3732.00   13.822  4.00
   3736.00   13.825  4.00
   3740.00   13.791  4.00
   3744.00   13.742  4.00
   3748.00   13.686  4.00
   3752.00   13.616  4.00
   3756.00   13.558  4.00
   3760.00   13.521  4.00
   3764.00   13.486  4.00
   3768.00   13.450  4.00
   3772.00   13.427  4.00
   3776.00   13.417  4.00
   3780.00   13.419  4.00
   3784.00   13.432  4.00
   3788.00   13.450  4.00
   3792.00   13.467  4.00
   3796.00   13.487  4.00
   3800.00   13.513  4.00
   3804.00   13.545  4.00
   3808.00   13.584  4.00
   3812.00   13.627  4.00
   3816.00   13.668  4.00
   3820.00   13.694  4.00
   3824.00   13.694  4.00
   3828.00   13.678  4.00
   3832.00   13.666  4.00
   3836.00   13.656  4.00
   3840.00   13.639  4.00
   3844.00   13.619  4.00
   3848.00   13.606  4.00
   3852.00   13.605  4.00
   3856.00   13.613  4.00
   3860.00   13.598  4.00
   3864.00   13.555  4.00
   3868.00   13.510  4.00
   3872.00   13.484  4.00
   3876.00   13.471  4.00
   3880.00   13.464  4.00
   3884.00   13.462  4.00
   3888.00   13.462  4.00
   3892.00   13.459  4.00
   3896.00   13.458  4.00
   3900.00   13.464  4.00
   3904.00   13.481  4.00
   3908.00   13.514  4.00
   3912.00   13.567  4.00
   3916.00   13.639  4.00
   3920.00   13.741  4.00
   3924.00   13.888  4.00
   3928.00   14.078  4.00
   3932.00   14.244  4.00
   3936.00   14.249  4.00
   3940.00   14.104  4.00
   3944.00   13.943  4.00
   3948.00   13.836  4.00
   3952.00   13.784  4.00
   3956.00   13.782  4.00
   3960.00   13.836  4.00
   3964.00   13.944  4.00
   3968.00   14.030  4.00
   3972.00   13.984  4.00
   3976.00   13.833  4.00
   3980.00   13.688  4.00
   3984.00   13.580  4.00
   3988.00   13.497  4.00
   3992.00   13.429  4.00
   3996.00   13.374  4.00
   4000.00   13.330  4.00
   4004.00   13.295  4.00
   4008.00   13.265  4.00
   4012.00   13.238  4.00
   4016.00   13.215  4.00
   4020.00   13.197  4.00
   4024.00   13.186  4.00
   4028.00   13.177  4.00
   4032.00   13.166  4.00
   4036.00   13.155  4.00
   4040.00   13.144  4.00
   4044.00   13.128  4.00
