#candidate hjd RV(km/s) RVerr(km/s) ccf_height bis(km/s) bis_err(km/s)
ASUD-1184 56938.17619 -17.5083361033 1.21295490456 0.62 -0.174365203246 0.00139514795021
ASUD-4043 56938.18891 27.4133922556 1.74251521174 0.4792 -1.6049213036 0.00353974712825
ASUD-1226 56938.20054 34.1228922459 1.39559241077 0.6064 0.542498808218 0.000190487618998
ASUD-0117 56938.20601 2.93143167747 1.46885197261 0.6704 0.100138381852 0.000281633633231
ASUD-0796 56938.20976 37.6705795492 1.32933021491 0.6508 1.14278444126 0.00154839893147
ASUD-0866 56938.2236 -2.74940387388 1.52725085388 0.5936 0.343060940231 0.000985843489436
ASUD-0814 56938.23063 -2.21094781584 1.35110912358 0.6292 -0.145083195597 0.000203236430686
ASUD-0117 56942.08956 5.4034433076 4.95778208045 0.555 -0.423063884341 0.00111578551102
ASUD-1184 56943.02807 -21.2095203428 2.80364060296 0.607273 0.200978965482 0.00496787416217
ASUD-4043 56943.03911 29.5750978965 2.9683170341 0.47 -0.345901339616 0.000267658379303
ASUD-0117 56943.05751 -4.32979047829 2.43338381913 0.616 0.105721196039 0.000230325719102
ASUD-0796 56943.06217 34.3812958587 2.80592592744 0.619167 0.949898779643 0.000781136451064
ASUD-2402 56943.07047 28.8606039882 2.846889667 0.568462 -0.0300913448662 1.87135226092e-05
ASUD-0866 56943.07982 -8.96830636996 2.894881595 0.595385 0.256574134603 0.000583827694781
ASUD-0814 56943.08834 -10.1945083171 2.978970171 0.583846 0.817514945431 0.00375167326735
