#candidate teff(K) logg
HATS582-004 5241 4.0
HATS582-005 6453 4.6
HATS582-006 5065 3.5
HATS582-010 5969 3.9
HATS582-012 5296 4.2
HATS551-014 6304 4.1
HATS551-013 5938 4.5
HATS551-004 6647 4.8
HATS552-005 4993 3.9
HATS563-007 4466 3.9
HATS563-016 6110 4.8
HATS563-019 6447 4.5
HATS563-020 6071 3.1
HATS563-031 6010 4.1
HATS563-044 6067 3.7
HATS563-045 5504 3.9
HATS564-003 6140 3.0
HATS628-001 6258 3.8
HATS582-011 6071 4.4
HATS582-009 6022 2.9
HATS514-003 4648 4.6
HATS514-002 4180 2.8
HATS563-021 4509 4.2
